information_need,relevant_chunk_id
software_developer_skills,ESCO_2512.4_CH01
web_developer_role,ESCO_2513.5_CH01
rpl_nvq,C003_P92_CH01
rpl_nvq,C003_P94_CH01
rpl_nvq,C003_P19_CH01
nvq_progression,C003_P17_CH01
nvq_progression,C003_P19_CH01
nvq_progression,C003_P20_CH01
nvq_progression,C003_P21_CH01
nvq_progression,C003_P102_CH01
nvq_progression,C003_P56_CH01
software_engineering_admission,C005_P110_CH01
cv_skills,C006_P75_CH01
cv_skills,C006_P74_CH01
cv_skills,C006_P73_CH02
cv_skills,C007_P36_CH01
cv_skills,C002_P8_CH01
youth_unemployment,C008_P4_CH01
youth_unemployment,C008_P5_CH01
youth_unemployment,C009_P8_CH01
youth_unemployment,C009_P15_CH01
nysc_training_centres,C012_HTML_CH01
