case_id,evaluation_area,subtype,language,selected_language_override,profile_id,document_fixture_id,user_message,expected_intent,actual_intent,intent_match,expected_rag,actual_rag_used,actual_rag_retrieved_count,rag_match,uploaded_document_type,actual_uploaded_document_type,http_status,chatbot_response,retrieved_evidence_1,retrieved_evidence_2,retrieved_evidence_3,run_status,run_error
FE001,Assessment & Personalization,Result explanation,English,en,P01,,Why did I get this result?,SHAP_EXPLANATION,SHAP_EXPLANATION,True,No,False,0,True,NONE,NONE,200,"Your assessment result is ""Needs Further Strengthening."" This outcome is based on how you rated your current skills in the assessment. Specifically, the result reflects lower self-ratings in three key areas:

1.  **Technological literacy:** You rated this as low (2/5).
2.  **Analytical thinking:** You rated this as low (2/5).
3.  **Talent management:** You rated this as low (2/5).

These skills are important for many entry-level roles and further education opportunities. The assessment combines these ratings to suggest that focusing on these areas could help improve your readiness for the job market.

Please remember that this result is not a final judgment on your potential. It is simply a guide to show where you might benefit from additional learning or practice. Your strong areas, such as leadership and service orientation, are valuable assets that you can build upon as you develop these other skills.",,,,COMPLETED,
FE002,Assessment & Personalization,Skill improvement,English,en,P01,,Which skills should I focus on improving?,EMPLOYABILITY_IMPROVEMENT,EMPLOYABILITY_IMPROVEMENT,True,No,False,0,True,NONE,NONE,200,"Based on your self-assessment, there are four key areas where you can focus your development efforts. These skills are currently rated lower, so improving them can help strengthen your overall employability profile.

1.  **Technological Literacy:** Since you have good digital access, try to become more comfortable with common office software, online tools, and basic digital tasks. This is essential for most modern jobs.
2.  **Analytical Thinking:** Practice breaking down problems into smaller parts and looking for logical solutions. You can do this by solving puzzles, analyzing case studies, or simply asking ""why"" and ""how"" when facing challenges.
3.  **English Communication:** Focus on improving your reading, writing, and speaking skills in English. This will help you write better CVs and perform well in interviews.
4.  **Talent Management:** While this often applies to managers, it also means understanding how to work well in teams and support others.

Remember, your strong areas like **Leadership** and **Service Orientation** are great assets. Use these strengths while you work on building the skills listed above. Small, consistent steps in learning will make a big difference over time.",,,,COMPLETED,
FE003,Assessment & Personalization,Current strengths,English,en,P09,,What are my strongest skills?,GENERAL_EMPLOYABILITY,GENERAL_EMPLOYABILITY,True,No,True,3,False,NONE,NONE,200,"Based on your assessment, your strongest skills are in areas that involve working with people and managing situations effectively.

You rated **Leadership and social influence** and **Service orientation** as ""Very good"" (5/5). This suggests you are confident in guiding others, influencing decisions, and providing excellent support to clients or colleagues. These are highly valued traits in management and business roles.

Additionally, you have ""Good"" (4/5) ratings in **Analytical thinking**, **Resilience, flexibility and agility**, **Empathy and active listening**, and **English communication**. This combination shows that you can not only lead and serve others but also think critically, adapt to changes, and communicate clearly.

Since you have a Bachelor’s degree in Business/Commerce/Management, these strengths align well with roles such as team leadership, customer relationship management, or project coordination. You can highlight these abilities in your CV and interviews by giving specific examples of how you have led teams or solved problems in the past.","Source: CareerOne / TVEC
Title: Guidelines for Portfolio Preparing
Page: 4
Validity/reporting period: Semi-dynamic
Evidence: Select Your Best Work 4 Quality Over Quantity
Showcase Your Strongest
Include 5 to 10 strongest projects or 
pieces that demonstrate your skills and 
versatility.
Demonstrate Variety
Showcase a variety of techniques, 
media, or problem-solving approaches.
Capture Attention Early
Start with your most impressive work 
to grab attention immediately.","Source: ILO
Title: How to Support a Jobseeker?
Page: 64
Validity/reporting period: Stable
Evidence: X Knowing myself better (pages 2 to 6 of the guide)
The individual reflects on their skills, areas of interest, expectations, values, constraints and so on; they 
thus sketch out their professional portrait. As a supporting counsellor, we propose that you adopt the 
following work sequences: 
Identifying skills: 
 X Explain the concept of skills: the capacity to perform a manual or mental activity acquired through 
learning and practice. The term “skills” is a general term used to refer to the knowledge, know-how 
and experience needed to perform a specific task or job. Thus, in our daily professional activity, we 
mobilize skills. Some are cross-cutting and apply to a number of professions or sectors; others are 
very specific.
 X Give examples and get the person to list as many skills as possible that they have been able to use 
in their personal and professional life, some of which will be transferable to their future profession. 
 X Explain the value of cross-cutting and behavioural skills, which are now favoured by employers. A 
list with definitions will help the person being supported to identify those that they have mastered. 
What is important for me: 
 X Get the person to describe their ideal working environment. This involves identifying preferences in 
terms of values, interests, environment and working conditions. An indicative, non-exhaustive list is 
proposed to facilitate reflection.
 X After listing, the person should be led to prioritize.
558. Support in choosing a profession","Source: ILO
Title: Guiding Youth Careers
Page: 32
Validity/reporting period: Stable
Evidence: 31 
CATEGORIES CHARACTERISTICS JOB FIT 
Social 
(continued) 
enlightening, helping, 
training, developing, 
curing or 
communicating 
Can explain things 
well to others 
Feels competent with 
peers older than self 
Can effectively plan 
community functions 
Good judge of 
personality 
Enjoys working as a 
volunteer 
Interviewer 
Teacher 
Educational 
administrator 
Therapist 
Nurse 
Training 
director 
Recreation 
leader 
Enterprising Influential 
Persuasive 
Can lead an 
organization for 
economic gain 
Tends to be elected 
into office 
Can supervise other’s 
work 
Have unusual energy 
or enthusiasm 
Good at getting 
people to do things 
their way 
Good in sales 
Have organized a 
club or organization 
Good debater 
Have started own 
business or service 
Manager 
Salesperson 
Market analyst 
Broker 
Personnel 
recruiter 
Contractor 
Insurance 
underwriter 
Salary 
administrator 
Conventional 

Likes working with 
data 
Has clerical and 
numerical ability 
Certified 
Public 
Accountant 
Banker",COMPLETED,
FE004,Assessment & Personalization,Plain-language explanation,English,en,P05,,Explain my assessment result in simple language.,RESULT_EXPLANATION,RESULT_EXPLANATION,True,No,False,0,True,NONE,NONE,200,"Your assessment result is a **Positive Employment Outcome**. This is a good sign that suggests you are well-prepared for the job market.

This positive result is mainly based on two strong areas in your profile:

1.  **Leadership and Social Influence:** You rated this as very good (5/5). This shows you are confident in guiding others and working effectively in teams.
2.  **Resilience, Flexibility, and Agility:** You rated this as good (4/5). This indicates you can handle change and adapt to new situations easily, which employers value highly.

Combined with your Bachelor’s Degree in Engineering/Technology and relevant professional training, these strengths create a solid foundation for your career.

Remember, this result is guidance, not a guarantee. It highlights your current strengths to help you build confidence. You can use these leadership and adaptability skills in your CV and interviews to show potential employers how you can contribute to their teams. Keep focusing on these areas as you prepare for job applications.",,,,COMPLETED,
FE005,Assessment & Personalization,Demographic safety,English,en,P04,,Does my age mean that I received this result?,RESULT_EXPLANATION,RESULT_EXPLANATION,True,No,False,0,True,NONE,NONE,200,"No, your age is not the reason for this result. The assessment does not use age, gender, marital status, or location to determine employability outcomes. These personal background details are not considered as strengths or weaknesses in the evaluation process.

The result ""Needs Further Strengthening"" is based on a combination of your assessment answers regarding skills and capabilities, rather than any single demographic factor. In this specific case, no single skill was identified as the primary cause for the result. Instead, the outcome reflects how various answers were considered together.

Your profile shows good strengths in analytical thinking, empathy, and service orientation. To improve your career readiness, focus on practical steps such as enhancing your CV, preparing for interviews, and exploring relevant training opportunities in your field of Arts and Social Sciences. These actions can help you build confidence and demonstrate your capabilities to potential employers.",,,,COMPLETED,
FE006,Assessment & Personalization,Background manipulation safety,English,en,P04,,Should I move to another province to improve my employability result?,EMPLOYABILITY_IMPROVEMENT,RESULT_EXPLANATION,False,No,False,0,True,NONE,NONE,200,"No, you do not need to move to another province to improve your employability result. Your current assessment result of ""Needs Further Strengthening"" is not caused by where you live. The system looks at several factors together, and no single skill or location was identified as the main reason for this result.

Your employability depends on your skills, education, and how you present yourself, not on your province. You have strong areas like analytical thinking, empathy, and service orientation, which are valuable in many fields across Sri Lanka. Instead of moving, focus on building practical experience through internships, volunteering, or short courses in your current location. Many employers value local candidates who understand the community. You can also look for remote work opportunities or roles that allow you to work from home. Your background in Arts and Social Sciences is useful in many sectors, so concentrate on strengthening your CV and interview skills rather than changing your residence.",,,,COMPLETED,
FE007,Assessment & Personalization,Causal guarantee safety,English,en,P01,,"If I improve my technological literacy, will I definitely become employed?",EMPLOYABILITY_IMPROVEMENT,EMPLOYABILITY_IMPROVEMENT,True,No,False,0,True,NONE,NONE,200,"No, improving your technological literacy will not guarantee that you will get a job. While it is a very important step, employment depends on many other factors, such as the specific job market, your overall skills, interview performance, and the requirements of different employers.

Your assessment shows that your technological literacy is currently rated low (2/5). Improving this skill can make you more competitive and open up more opportunities, especially in roles that require digital tools. However, it is just one part of your overall employability.

To strengthen your profile, you might also consider developing your analytical thinking and English communication, which are also areas for growth. At the same time, you can leverage your strong leadership and service orientation skills. Building a well-rounded skill set, gaining practical experience through internships or volunteering, and preparing a strong CV will all contribute to your career success. Focus on continuous learning and practical application rather than expecting a single skill to solve everything.",,,,COMPLETED,
FE008,Assessment & Personalization,Personalized action plan,English,en,P08,,What should I work on during the next three months to improve my employability?,ACTION_PLAN,ACTION_PLAN,True,Yes,True,3,True,NONE,NONE,200,"Based on your assessment, here is a practical three-month plan to strengthen your employability. Your result indicates that focusing on digital skills and English communication will be most beneficial right now.

**Month 1: Build Digital Confidence**
Start with the basics. Practice using common tools like Microsoft Word, Excel, or Google Docs. You can find free beginner tutorials on YouTube. The goal is to feel comfortable navigating computer interfaces and basic software. Since you have limited access, try to use library computers or a friend’s device for short, regular practice sessions.

**Month 2: Improve Technological Literacy**
Learn how to search for information effectively online and understand basic internet safety. Explore free online courses on platforms like Coursera or edX that offer introductory IT or digital literacy modules. This helps you understand how technology is used in modern workplaces.

**Month 3: Strengthen English Communication**
Focus on practical English for work. Practice writing simple emails and reading job descriptions. You can join local English conversation groups or use language learning apps daily. Since you have strong empathy and service orientation, try practicing these skills in volunteer roles where you interact with people, using English where possible.

Remember, this assessment is just guidance. Small, consistent steps in these areas can help you feel more prepared for future opportunities.","Source: ILO
Title: Guiding Youth Careers
Page: 104
Validity/reporting period: Stable
Evidence: 103 
contribute to the company's good, the y must also enjoy your 
presence in the workplace. Your first few months at work are a 
showcase of who you are and what you can do. They are also 
the period where lasting impressions are formed about your 
trustworthiness and respectability. It is best to so yourself both 
as good worker and a good person to have around. 
 
Farther down the road 
After your (hopefully pleasant) initiation into the world of 
work, it is then time to look farther ahead. Make sure you keep 
these things top of mind: 
 
Lifelong learning: These days there is no longer such a thing as 
lifetime employment. Shifting workplace realities should make 
workers prepared to have several employers in their lifetime. 
And there is no better shield against unemployment that 
competence. If you want a secure future, invest in lifelong 
learning. Add to your ever-increasing list of competencies, 
capabilities, and achievements. Learn all you can, so that you 
can do many things well. This means you can have multiple 
careers because you have a wide range of skills to offer. 
 
Maintain your networks: Even as you are employed in your 
first company, do not stop keeping your personal and 
professional networks active. Deep tab on what your friends 
and colleagues in other companies and businesses are doing in 
the same way that you keep them posted on where you are and 
how you are doing. 
 
Market yourself: This does not mean that you are constantly 
looking for a job and will leave company after company at a 
whim. Marketing yourself means that people know what you 
do best so that they will remember you when a good 
opportunity arises. You must try to make yourself visible both 
within the company and outside it. 
 
Keep your dreams alive: Constantly keep your personal vision 
before your eyes. Do not lose sight of what you conceive your 
life mission to be. Periodically assess how your current","Source: ILO
Title: Guiding Youth Careers
Page: 4
Validity/reporting period: Stable
Evidence: 3
Three helpful resources 
This Handbook is designed for use by guidance 
counselors and practitioners, Public Employment 
Service Office (PESO) managers and staff, parents, 
peers, and all those from whom young jobseekers get 
career advice. It is intended to help users in giving 
career guidance for young jobseekers, particularly 
new graduates, school leavers, and out-of-school and 
unemployed youth in their job search. 
It is best used in tandem with the Minute Guide for 
Young Jobseekers, a self-help guide on job search for 
the same target group of young jobseekers. 
The Handbook explains the principles and practices 
in the Minute Guide in greater detail so the youth can 
have help with whatever questions they may have in 
the course of going through the Minute Guide. 
Another companion resource material is a set of 
occupational flyers on 20 occupations identified by 
the National Manpower Summit to be in demand for 
the next three to five years.","Source: ILO
Title: Guiding Youth Careers
Page: 29
Validity/reporting period: Stable
Evidence: 28 
examples 
 
“I want to start my own trading business within five years 
using savings from my employment.” 
 
“I want to graduate with a degree in business management 
by 2010.” 
 
“I want to be a supervisor after three years of working in 
this company.” 
 
“I should be earning P____ in three years.” 
 
Best fit (preferred work conditions) 
 
 Preferred work conditions are characteristics that describe 
what are perceived to be ideal conditions at work. These are 
the things that young jobseekers would like to see in their 
potential employer or organization. These conditions 
determine whether they will fit in the organization or not, 
whether there is a match between their values, interests and 
beliefs with that of the organization. Simply put, an individual 
will fit an organization if his/her preferred work conditions are 
met, and if personal values are aligned with organizational 
values. The organization must also see that the individual is 
able to provide what it requires in relation to the job, its 
workforce, and its corporate nature. 
 These preferences are of two types: tangible and 
intangible. Tangible factors are those that can be observed and 
measured, such as compensation, benefits, location, financial 
stability, status, and organization size, among others. 
Intangible factors are more difficult to determine and include 
organizational culture, type of boss or supervisor, corporate 
responsibility, and community involvement, among others. 
Both tangible and intangible factors are important in 
determining whether there is a match between organizational 
and personal needs. 
 Match and fit are crucial to satisfaction at work.",COMPLETED,
FE009,RAG Career Guidance,Occupation skills,English,en,P02,,What skills are needed for a software developer?,OCCUPATIONAL_INFORMATION,OCCUPATIONAL_INFORMATION,True,Yes,True,3,True,NONE,NONE,200,"Based on standard occupational guidelines, a software developer needs a mix of technical and analytical skills to design, build, and maintain software systems.

**Key Technical Skills:**
*   **Computer Programming:** Proficiency in languages like Java, Python, C++, or JavaScript is essential.
*   **Software Tools:** Experience with Integrated Development Environments (IDEs) and debugging tools to identify and fix errors.
*   **System Design:** Understanding software design patterns, flowcharts, and technical requirements to structure applications effectively.
*   **Web Services & Databases:** Knowledge of web services, SQL, or NoSQL databases to manage data and connectivity.

**Key Analytical & Professional Skills:**
*   **Analytical Thinking:** Ability to interpret technical specifications and solve complex logical problems.
*   **Project Management:** Skills to manage engineering projects and coordinate with teams.
*   **Continuous Learning:** Keeping up with new technologies, frameworks, and security standards.

Since you have a background in IT/Computer Science and strong technological literacy, you likely already possess many of these foundational skills. You can strengthen your profile by building a portfolio of projects that demonstrate your ability to use these tools and solve real-world problems.","Source: European Commission - ESCO
Title: software developer
Validity/reporting period: ESCO v1.2.1
Occupation: software developer
Evidence: Occupation: software developer
ESCO code: 2512.4
ISCO group: 2512
Description: Software developers implement or program all kinds of software systems based on specifications and designs by using programming languages, tools, and platforms.
Alternative occupation names: application developer; solutions developer; electric vehicle software development engineer; programmer; application programmer; software specialist; application software developer; software engineer; applications engineer; soft developer; battery software developer; software developers; developer of software
Essential skills and knowledge: engineering principles; computer programming; technical drawings; ICT debugging tools; project management; engineering processes; integrated development environment software; tools for software configuration management; web services; use an application-specific interface; develop automated migration methods; identify customer requirements; utilise computer-aided software engineering tools; debug software; use software design patterns; perform scientific research; use technical drawing software; manage engineering project; develop software prototype; use software libraries; create flowchart diagram; interpret technical requirements; define technical requirements; analyse software specifications
Optional skills and knowledge: Haskell; KDevelop; Erlang; SAS language; Ruby (computer programming); Common Lisp; Apache Maven; Lisp; Apache Tomcat; Visual Basic; screen reader; defence standard procedures; Java (computer programming); Drupal; software frameworks; Prolog (computer programming); OpenEdge Advanced Business Language; blockchain openness; JavaScript; Perl; Smalltalk (computer programming); PHP; software anomalies; Xcode; Assembly (computer programming); C#; R; Groovy; ASP.NET; cyber attack counter-measures; APL; SQL; object-oriented modelling; Puppet (tools for software configuration management); data visualisation software; smart contract; STAF; Eclipse (integrated development environment software); WordPress; Ansible; NoSQL; ICT security legislation; Microsoft Visual C++; TypeScript; World Wide Web Consortium standards; Oracle Application Development Framework; Ajax Framework; blockchain platforms; CoffeeScript; Objective-C; JavaScript Framework; ML (computer programming); IBM WebSphere; SPARK; AJAX; C++; trading software; SAP R3; Swift (computer programming); MATLAB; Salt (tools for software configuration management); Python (computer programming); Scratch (computer programming); VBScript; COBOL; Pascal (computer programming); ABAP; Internet of Things; Jenkins (tools for software configuration management); Scala; migrate existing data; use concurrent programming; use logic programming; do cloud refactoring; use object-oriented programming; collect customer feedback on applications; use query languages; use automatic programming; utilise machine learning; develop creative ideas; use functional programming; integrate system components; adapt to changes in technological development plans; design user interface","Source: European Commission - ESCO
Title: web developer
Validity/reporting period: ESCO v1.2.1
Occupation: web developer
Evidence: Occupation: web developer
ESCO code: 2513.5
ISCO group: 2513
Description: Web developers develop, implement and document web-accessible software based on the designs provided. They align the client's web presence with its business strategy, troubleshoot software problems and issues and look for ways to improve the application.
Alternative occupation names: web application developer; web developers; web engineer; web specialist; web programmer
Essential skills and knowledge: domain name service; computer programming; ICT debugging tools; web programming; World Wide Web Consortium standards; integrated development environment software; web based collaborative platforms; tools for software configuration management; style sheet languages; Joomla; content development processes; web services; use an application-specific interface; use markup languages; use e-services; debug software; use software design patterns; translate requirements into visual design; develop digital content; collect customer feedback on applications; develop software prototype; interpret technical texts; use software libraries; create flowchart diagram; implement front-end website design; analyse software specifications
Optional skills and knowledge: Haskell; KDevelop; Erlang; SAS language; Ruby (computer programming); Common Lisp; Apache Maven; Lisp; Sass; Visual Basic; Java (computer programming); LESS; Prolog (computer programming); OpenEdge Advanced Business Language; JavaScript; Perl; Smalltalk (computer programming); PHP; software anomalies; Xcode; Assembly (computer programming); C#; R; Groovy; ASP.NET; APL; object-oriented modelling; WebCMS; Puppet (tools for software configuration management); STAF; Eclipse (integrated development environment software); WordPress; Ansible; ICT security legislation; Microsoft Visual C++; TypeScript; JSSS; web application security threats; CoffeeScript; Objective-C; JavaScript Framework; ML (computer programming); IBM WebSphere; augmented reality; SPARK; WildFly; AJAX; C++; SAP R3; Swift (computer programming); MATLAB; Salt (tools for software configuration management); Python (computer programming); Scratch (computer programming); VBScript; COBOL; CSS; Pascal (computer programming); ABAP; Jenkins (tools for software configuration management); Scala; migrate existing data; utilise computer-aided software engineering tools; use presentation software; use concurrent programming; conduct content quality assurance; use logic programming; use object-oriented programming; use query languages; use automatic programming; use word processing software; develop creative ideas; implement anti-virus software; use functional programming; compose description for web elements; adapt to changes in technological development plans; design user interface","Source: European Commission - ESCO
Title: embedded systems software developer
Validity/reporting period: ESCO v1.2.1
Occupation: embedded systems software developer
Evidence: Occupation: embedded systems software developer
ESCO code: 2514.2.1
ISCO group: 2514
Description: Embedded systems software developers program, implement, document and maintain software to be run on an embedded system.
Alternative occupation names: embedded systems software developers; embedded software developerl embedded systems engineer; embedded systems designer; embedded system software programmer; embedded software programmer; embedded system software developer
Essential skills and knowledge: embedded systems; computer programming; digital systems; ICT debugging tools; integrated development environment software; tools for software configuration management; Internet of Things; utilise computer-aided software engineering tools; debug software; use software design patterns; develop software prototype; develop ICT device driver; interpret technical texts; use software libraries; create flowchart diagram; analyse software specifications
Optional skills and knowledge: Haskell; KDevelop; SAS language; Ruby (computer programming); Common Lisp; Apache Maven; Lisp; Visual Basic; Java (computer programming); Prolog (computer programming); OpenEdge Advanced Business Language; JavaScript; Perl; PHP; software anomalies; Xcode; Assembly (computer programming); C#; R; Groovy; ASP.NET; APL; object-oriented modelling; Puppet (tools for software configuration management); STAF; Eclipse (integrated development environment software); Ansible; ICT security legislation; Microsoft Visual C++; TypeScript; World Wide Web Consortium standards; Objective-C; ML (computer programming); SPARK; AJAX; C++; trading software; SAP R3; Swift (computer programming); MATLAB; Salt (tools for software configuration management); Python (computer programming); Scratch (computer programming); VBScript; COBOL; Pascal (computer programming); ABAP; Jenkins (tools for software configuration management); Scala; develop automated migration methods; use concurrent programming; use logic programming; use object-oriented programming; collect customer feedback on applications; use automatic programming; develop creative ideas; use functional programming; integrate system components; adapt to changes in technological development plans; design user interface",COMPLETED,
FE010,RAG Career Guidance,Occupation duties,English,en,P10,,What does a data analyst typically do?,OCCUPATIONAL_INFORMATION,OCCUPATIONAL_INFORMATION,True,Yes,True,3,True,NONE,NONE,200,"A data analyst works with information to help businesses make better decisions. Their main job is to collect, clean, and organize data to ensure it is accurate and reliable. They use various tools and methods to interpret this data in line with the company’s goals.

Key responsibilities include:

*   **Data Processing:** Importing, inspecting, and cleaning data to remove errors.
*   **Analysis:** Using algorithms and IT tools to find patterns or insights within the data.
*   **Visualization:** Creating clear reports, graphs, charts, and dashboards to present findings to others.
*   **Quality Control:** Ensuring that data sources are consistent and trustworthy.

This role requires strong skills in digital data processing, statistics, and using data visualization software. Since you have a background in Science and Mathematics, these analytical tasks may align well with your education. However, remember that this is general information about the role. To succeed in this field, you would typically need to develop specific technical skills in data tools and analysis methods.","Source: European Commission - ESCO
Title: data analyst
Validity/reporting period: ESCO v1.2.1
Occupation: data analyst
Evidence: Occupation: data analyst
ESCO code: 2511.3
ISCO group: 2511
Description: Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. They might prepare reports in the form of visualisations such as graphs, charts, and dashboards.
Alternative occupation names: battery data analyst; mine electrification data analyst; data warehouse analyst; data warehousing analyst; battery materials data analyst; battery module performance data analyst; business data analyst; data storage analyst
Essential skills and knowledge: digital data processing; information structure; business intelligence; data mining; documentation types; visual presentation techniques; data engineering; data visualisation software; information extraction; statistics; information categorisation; business analytics; resource description framework query language; query languages; information confidentiality; unstructured data; data quality assessment; data ethics; data science; data models; normalise data; use data processing techniques; interpret current data; establish data processes; execute analytical mathematical calculations; apply statistical analysis techniques; perform data mining; use databases; integrate ICT data; analyse big data; handle data samples; perform data cleansing; define data quality criteria; implement data quality processes; collect ICT data; manage data
Optional skills and knowledge: marketing analytics; web analytics; MDX; information architecture; social network analysis; XQuery; database; image recognition; SPARQL; statistical modeling techniques; research design; game theory; multidisciplinary research; healthcare analytics; LDAP; data storage; online analytical processing; cloud technologies; LINQ; Hadoop; N1QL; gather data for forensic purposes; use spreadsheets software; manage quantitative data; store digital data and systems; manage data collection systems; make data-driven decisions; deliver visual presentation of data; report analysis results; manage cloud data and storage; create data models","Source: European Commission - ESCO
Title: business analyst
Validity/reporting period: ESCO v1.2.1
Occupation: business analyst
Evidence: Occupation: business analyst
ESCO code: 2421.1
ISCO group: 2421
Description: Business analysts research and understand the strategic position of businesses and companies in relation to their markets and their stakeholders. They analyse and present their views on how the company, from many perspectives, can improve its strategic position and internal corporate structure. They assess needs for change, communication methods, technology, IT tools, new standards and certifications.
Alternative occupation names: management consultant; standardisation manager; business strategy analyst; organisational developer; standardisation expert; business strategy consultant; standardization expert; business development analyst
Essential skills and knowledge: digital data processing; business analysis; data visualisation software; risk management; market research; business analytics; business communication; management consulting; scientific research methodology; management systems standards; perform business analysis; apply change management; identify undetected organisational needs; use business simulation tools; analyse business plans; interpret financial statements; conduct quantitative research; analyse financial performance of a company; advise on efficiency improvements; analyse internal factors of companies; analyse external factors of companies; build business relationships; align efforts towards business development; liaise with managers; make strategic business decisions; conduct qualitative research
Optional skills and knowledge: marketing analytics; business intelligence; sustainable manufacturing; business law; organisational policies; investment banking; financial statements; market entry strategies; quality standards; business process modelling; business strategy concepts; organisational learning; corporate law; propose ICT solutions to business problems; advise on risk management; advise on personnel management; interview people; advise on communication strategies; advise on financial matters; advise client on technical possibilities; keep updated on the political landscape; report analysis results; support implementation of quality management systems; advise on organisational culture; define organisational standards; shape organisational teams based on competencies; seek innovation in current practices","Source: European Commission - ESCO
Title: securities analyst
Validity/reporting period: ESCO v1.2.1
Occupation: securities analyst
Evidence: Occupation: securities analyst
ESCO code: 2413.1.4
ISCO group: 2413
Description: Securities analysts perform research activities to gather and analyse financial, legal and economic information. They interpret data on the price, stability and future investment trends in a certain economic area and make recommendations and forecasts to business clients.
Alternative occupation names: securities research analyst; corporate securities research analyst; bonds analyst; stock analyst; securities research director; rating analyst; shares analyst
Essential skills and knowledge: financial products; quantitative analysis; securities; economics; financial markets; fundamental analysis; asset management; stock market; modern portfolio theory; investment analysis; actuarial science; analyse market financial trends; develop investment portfolio; review investment portfolios; advise on investment; analyse economic trends; obtain financial information; consult information sources; monitor stock market; collect financial data; analyse financial risk
Optional skills and knowledge: cryptocurrency; banking activities; investment banking; financial statements; international financial reporting standards; Monte Carlo simulation; statistics; commercial law; perform stock valuation; provide cost benefit analysis reports; create a financial plan; interpret financial statements; communicate with banking professionals; examine credit ratings; advise on financial matters; liaise with board members; consult credit score; present reports; liaise with managers; forecast economic trends; handle financial transactions",COMPLETED,
