information_need,canonical_query,candidate_type,candidate_rank,chunk_id,corpus_id,occupation_name,title,page_number,knowledge_domain,distance,expected_corpus_id,expected_occupation_name,relevant,notes,text
software_developer_skills,What skills are required to become a software developer?,global_top15,1,ESCO_2512.4_CH01,C001,software developer,software developer,-1,Occupational information,0.2921,C001,software developer,,,"Occupation: software developer
ESCO code: 2512.4
ISCO group: 2512
Description: Software developers implement or program all kinds of software systems based on specifications and designs by using programming languages, tools, and platforms.
Alternative occupation names: application developer; solutions developer; electric vehicle software development engineer; programmer; application programmer; software specialist; application software developer; software engineer; applications engineer; soft developer; battery software developer; software developers; developer of software
Essential skills and knowledge: engineering principles; computer programming; technical drawings; ICT debugging tools; project management; engineering processes; integrated development environment software; tools for software configuration management; web services; use an application-specific interface; develop automated migration methods; identify customer requirements; utilise computer-aided software engineering tools; debug software; use software design patterns; perform scientific research; use technical drawing software; manage engineering project; develop software prototype; use software libraries; create flowchart diagram; interpret technical requirements; define technical requirements; analyse software specifications
Optional skills and knowledge: Haskell; KDevelop; Erlang; SAS language; Ruby (computer programming); Common Lisp; Apache Maven; Lisp; Apache Tomcat; Visual Basic; screen reader; defence standard procedures; Java (computer programming); Drupal; software frameworks; Prolog (computer programming); OpenEdge Advanced Business Language; blockchain openness; JavaScript; Perl; Smalltalk (computer programming); PHP; software anomalies; Xcode; Assembly (computer programming); C#; R; Groovy; ASP.NET; cyber attack counter-measures; APL; SQL; object-oriented modelling; Puppet (tools for software configuration management); data visualisation software; smart contract; STAF; Eclipse (integrated development environment software); WordPress; Ansible; NoSQL; ICT security legislation; Microsoft Visual C++; TypeScript; World Wide Web Consortium standards; Oracle Application Development Framework; Ajax Framework; blockchain platforms; CoffeeScript; Objective-C; JavaScript Framework; ML (computer programming); IBM WebSphere; SPARK; AJAX; C++; trading software; SAP R3; Swift (computer programming); MATLAB; Salt (tools for software configuration management); Python (computer programming); Scratch (computer programming); VBScript; COBOL; Pascal (computer programming); ABAP; Internet of Things; Jenkins (tools for software configuration management); Scala; migrate existing data; use concurrent programming; use logic programming; do cloud refactoring; use object-oriented programming; collect customer feedback on applications; use query languages; use automatic programming; utilise machine learning; develop creative ideas; use functional programming; integrate system components; adapt to changes in technological development plans; design user interface"
software_developer_skills,What skills are required to become a software developer?,global_top15,2,ESCO_2513.5_CH01,C001,web developer,web developer,-1,Occupational information,0.3367,C001,software developer,,,"Occupation: web developer
ESCO code: 2513.5
ISCO group: 2513
Description: Web developers develop, implement and document web-accessible software based on the designs provided. They align the client's web presence with its business strategy, troubleshoot software problems and issues and look for ways to improve the application.
Alternative occupation names: web application developer; web developers; web engineer; web specialist; web programmer
Essential skills and knowledge: domain name service; computer programming; ICT debugging tools; web programming; World Wide Web Consortium standards; integrated development environment software; web based collaborative platforms; tools for software configuration management; style sheet languages; Joomla; content development processes; web services; use an application-specific interface; use markup languages; use e-services; debug software; use software design patterns; translate requirements into visual design; develop digital content; collect customer feedback on applications; develop software prototype; interpret technical texts; use software libraries; create flowchart diagram; implement front-end website design; analyse software specifications
Optional skills and knowledge: Haskell; KDevelop; Erlang; SAS language; Ruby (computer programming); Common Lisp; Apache Maven; Lisp; Sass; Visual Basic; Java (computer programming); LESS; Prolog (computer programming); OpenEdge Advanced Business Language; JavaScript; Perl; Smalltalk (computer programming); PHP; software anomalies; Xcode; Assembly (computer programming); C#; R; Groovy; ASP.NET; APL; object-oriented modelling; WebCMS; Puppet (tools for software configuration management); STAF; Eclipse (integrated development environment software); WordPress; Ansible; ICT security legislation; Microsoft Visual C++; TypeScript; JSSS; web application security threats; CoffeeScript; Objective-C; JavaScript Framework; ML (computer programming); IBM WebSphere; augmented reality; SPARK; WildFly; AJAX; C++; SAP R3; Swift (computer programming); MATLAB; Salt (tools for software configuration management); Python (computer programming); Scratch (computer programming); VBScript; COBOL; CSS; Pascal (computer programming); ABAP; Jenkins (tools for software configuration management); Scala; migrate existing data; utilise computer-aided software engineering tools; use presentation software; use concurrent programming; conduct content quality assurance; use logic programming; use object-oriented programming; use query languages; use automatic programming; use word processing software; develop creative ideas; implement anti-virus software; use functional programming; compose description for web elements; adapt to changes in technological development plans; design user interface"
software_developer_skills,What skills are required to become a software developer?,global_top15,3,ESCO_2514.2.1_CH01,C001,embedded systems software developer,embedded systems software developer,-1,Occupational information,0.3389,C001,software developer,,,"Occupation: embedded systems software developer
ESCO code: 2514.2.1
ISCO group: 2514
Description: Embedded systems software developers program, implement, document and maintain software to be run on an embedded system.
Alternative occupation names: embedded systems software developers; embedded software developerl embedded systems engineer; embedded systems designer; embedded system software programmer; embedded software programmer; embedded system software developer
Essential skills and knowledge: embedded systems; computer programming; digital systems; ICT debugging tools; integrated development environment software; tools for software configuration management; Internet of Things; utilise computer-aided software engineering tools; debug software; use software design patterns; develop software prototype; develop ICT device driver; interpret technical texts; use software libraries; create flowchart diagram; analyse software specifications
Optional skills and knowledge: Haskell; KDevelop; SAS language; Ruby (computer programming); Common Lisp; Apache Maven; Lisp; Visual Basic; Java (computer programming); Prolog (computer programming); OpenEdge Advanced Business Language; JavaScript; Perl; PHP; software anomalies; Xcode; Assembly (computer programming); C#; R; Groovy; ASP.NET; APL; object-oriented modelling; Puppet (tools for software configuration management); STAF; Eclipse (integrated development environment software); Ansible; ICT security legislation; Microsoft Visual C++; TypeScript; World Wide Web Consortium standards; Objective-C; ML (computer programming); SPARK; AJAX; C++; trading software; SAP R3; Swift (computer programming); MATLAB; Salt (tools for software configuration management); Python (computer programming); Scratch (computer programming); VBScript; COBOL; Pascal (computer programming); ABAP; Jenkins (tools for software configuration management); Scala; develop automated migration methods; use concurrent programming; use logic programming; use object-oriented programming; collect customer feedback on applications; use automatic programming; develop creative ideas; use functional programming; integrate system components; adapt to changes in technological development plans; design user interface"
software_developer_skills,What skills are required to become a software developer?,global_top15,4,ESCO_2512.3_CH01,C001,software architect,software architect,-1,Occupational information,0.3425,C001,software developer,,,"Occupation: software architect
ESCO code: 2512.3
ISCO group: 2512
Description: Software architects create the technical design and the functional model of a software system, based on functional specifications. They also design the architecture of the system or different modules and components related to the business' or customer requirements, technical platform, computer language or development environment.
Alternative occupation names: software architects; software designer; application architect
Essential skills and knowledge: systems development life-cycle; object-oriented modelling; unified modelling language; business process modelling; tools for software configuration management; system design; use an application-specific interface; align software with system architectures; design process; create software design; provide cost benefit analysis reports; collect customer feedback on applications; oversee development of software; create flowchart diagram; analyse business requirements; define technical requirements; build business relationships; analyse software specifications; define software architecture
Optional skills and knowledge: Haskell; Erlang; SAS language; Agile project management; Ruby (computer programming); Common Lisp; Apache Maven; Lisp; Visual Basic; Java (computer programming); computer programming; Prolog (computer programming); OpenEdge Advanced Business Language; JavaScript; Perl; Smalltalk (computer programming); PHP; Assembly (computer programming); C#; R; Groovy; ASP.NET; APL; Puppet (tools for software configuration management); web programming; STAF; security engineering; Ansible; task algorithmisation; ICT security legislation; Microsoft Visual C++; TypeScript; CoffeeScript; Objective-C; ML (computer programming); SPARK; WildFly; AJAX; C++; SAP R3; Swift (computer programming); ICT project management methodologies; MATLAB; Salt (tools for software configuration management); Python (computer programming); systems theory; Scratch (computer programming); Process-based management; lean project management; VBScript; COBOL; Pascal (computer programming); ABAP; Jenkins (tools for software configuration management); Scala; use markup languages; design cloud architecture; utilise computer-aided software engineering tools; perform risk analysis; provide ICT consulting advice; manage staff; do cloud refactoring; design database scheme; perform ICT troubleshooting; use query languages; develop software prototype; design database in the cloud; apply ICT systems theory; perform resource planning; implement data warehousing techniques"
software_developer_skills,What skills are required to become a software developer?,global_top15,5,ESCO_2512.8_CH01,C001,cloud software developer,cloud software developer,-1,Occupational information,0.3512,C001,software developer,,,"Occupation: cloud software developer
ESCO code: 2512.8
ISCO group: 2512
Description: Cloud software developers create, deploy, and modernize software applications to run on the cloud using microservices, containers, and serverless technologies. They develop scalable and highly available applications using cloud architectures and best practices. They incorporate logging and monitoring into their code and are able to perform root cause analysis on failures.
Alternative occupation names: cloud and infrastructure specialist; cloud solutions specialist; cloud consultant; cloud deployment specialist; cloud technical specialist; cloud administrator; full stack cloud software engineer; cloud infrastructure it specialist
Essential skills and knowledge: Java (computer programming); cloud security and compliance; software frameworks; decentralized application frameworks; JavaScript; computer engineering; cloud monitoring and reporting; integrated development environment software; ICT system programming; cloud technologies; design cloud architecture; design cloud networks; deploy cloud resource; develop with cloud services; design database in the cloud; implement cloud security and compliance; automate cloud tasks; manage cloud data and storage; design for organisational complexity; define software architecture
Optional skills and knowledge: ASP.NET; Eclipse (integrated development environment software); service-oriented modelling; JavaScript Framework; IBM WebSphere; application usability; monitor system performance"
software_developer_skills,What skills are required to become a software developer?,global_top15,6,ESCO_2519.7_CH01,C001,software tester,software tester,-1,Occupational information,0.3579,C001,software developer,,,"Occupation: software tester
ESCO code: 2519.7
ISCO group: 2519
Description: Software testers perform software tests. They may also plan and design them. They may also debug and repair software although this mainly corresponds to designers and developers. They ensure that applications function properly before delivering them to internal and external clients.
Alternative occupation names: module tester; application tester; soft tester; application software tester; software testing specialist; unit tester; software testers; software application tester; tester
Essential skills and knowledge: software architecture models; software anomalies; levels of software testing; software metrics; report test findings; provide software testing documentation; perform software unit testing; execute software tests; address problems critically; replicate customer software issues
Optional skills and knowledge: Haskell; Erlang; SAS language; Agile project management; Ruby (computer programming); Common Lisp; Lisp; Visual Basic; Java (computer programming); MDX; computer programming; Prolog (computer programming); OpenEdge Advanced Business Language; digital systems; JavaScript; XQuery; Perl; Smalltalk (computer programming); PHP; Assembly (computer programming); software components libraries; hardware components; C#; R; Groovy; ASP.NET; APL; SPARQL; ICT debugging tools; audit techniques; tools for ICT test automation; Microsoft Visual C++; TypeScript; resource description framework query language; CoffeeScript; Objective-C; query languages; ML (computer programming); LDAP; AJAX; C++; trading software; SAP R3; Swift (computer programming); ICT project management methodologies; MATLAB; application usability; unstructured data; LINQ; Python (computer programming); Scratch (computer programming); Process-based management; lean project management; VBScript; COBOL; Pascal (computer programming); ABAP; ICT performance analysis methods; N1QL; Scala; manage schedule of tasks; debug software; plan software testing; use scripting programming; develop automated software tests; develop ICT test suite; conduct ICT code review; measure software usability; execute integration testing; perform software recovery testing"
software_developer_skills,What skills are required to become a software developer?,global_top15,7,ESCO_2513.1_CH01,C001,digital games developer,digital games developer,-1,Occupational information,0.3597,C001,software developer,,,"Occupation: digital games developer
ESCO code: 2513.1
ISCO group: 2513
Description: Digital games developers program, implement and document digital games. They implement technical standards in gameplay, graphics, sound and functionality.
Alternative occupation names: digital games developers; digital game developer; computer games developer; games programmer; video games developer; virtual games developer
Essential skills and knowledge: digital game genres; computer programming; 3D texturing; ICT debugging tools; 3D lighting; integrated development environment software; tools for software configuration management; computer graphics; utilise computer-aided software engineering tools; apply 3D imaging techniques; debug software; use software design patterns; execute analytical mathematical calculations; develop digital content; develop software prototype; interpret technical texts; use software libraries; render 3D images; analyse software specifications
Optional skills and knowledge: Haskell; KDevelop; SAS language; Ruby (computer programming); Common Lisp; Apache Maven; Lisp; interactive media; Visual Basic; Java (computer programming); Prolog (computer programming); OpenEdge Advanced Business Language; JavaScript; Perl; PHP; software anomalies; Xcode; Assembly (computer programming); C#; R; Groovy; ASP.NET; APL; object-oriented modelling; Puppet (tools for software configuration management); STAF; Eclipse (integrated development environment software); Ansible; Microsoft Visual C++; TypeScript; World Wide Web Consortium standards; trigonometry; Objective-C; ML (computer programming); augmented reality; AJAX; C++; SAP R3; Swift (computer programming); MATLAB; Salt (tools for software configuration management); Python (computer programming); Joomla; Scratch (computer programming); VBScript; COBOL; Pascal (computer programming); ABAP; Internet of Things; Jenkins (tools for software configuration management); Scala; use concurrent programming; use logic programming; use object-oriented programming; use automatic programming; develop virtual game engine; develop creative ideas; create flowchart diagram; assist multimedia operator; use functional programming; integrate system components; adapt to changes in technological development plans; design user interface"
software_developer_skills,What skills are required to become a software developer?,global_top15,8,ESCO_2512.2_CH01,C001,software analyst,software analyst,-1,Occupational information,0.3615,C001,software developer,,,"Occupation: software analyst
ESCO code: 2512.2
ISCO group: 2512
Description: Software analysts elicit and prioritise user requirements, produce and document software specifications, test their application, and review them during software development. They act as the interface between the software users and the software development team.
Alternative occupation names: software requirement analyst; programming analyst; software analysts; programmer analyst; application analyst; software requirements analyst; analyst of software
Essential skills and knowledge: business requirements techniques; software architecture models; software design methodologies; legal requirements of ICT products; ICT system user requirements; data models; translate requirements into visual design; create software design; analyse business processes; develop documentation in accordance with legal requirements; develop software prototype; manage ICT legacy implication; design information system; interact with users to gather requirements; execute feasibility study; define technical requirements; identify ICT user needs; define software architecture; create data models
Optional skills and knowledge: Haskell; incremental development; Erlang; SAS language; Agile project management; Ruby (computer programming); Common Lisp; Lisp; Visual Basic; Java (computer programming); MDX; computer programming; Prolog (computer programming); OpenEdge Advanced Business Language; iterative development; JavaScript; XQuery; Perl; Smalltalk (computer programming); PHP; inter-organisational middleware system; Assembly (computer programming); Spiral development; C#; R; Groovy; ASP.NET; APL; object-oriented modelling; SPARQL; Outsourcing model; hybrid model; Waterfall development; unified modelling language; service-oriented modelling; core banking software; levels of software testing; TypeScript; ICT project management; Rapid application development; resource description framework query language; CoffeeScript; Objective-C; query languages; ICT problem management techniques; ML (computer programming); LDAP; SPARK; Open source model; AJAX; C++; trading software; SAP R3; Swift (computer programming); ICT project management methodologies; MATLAB; LINQ; Python (computer programming); Scratch (computer programming); Process-based management; lean project management; Agile development; VBScript; COBOL; Pascal (computer programming); ABAP; Prototyping development; DevOps; N1QL; Scala; use an application-specific interface; create prototype of user experience solutions; ensure compliance with legal requirements; create project specifications; provide ICT consulting advice; manage ICT project; ensure compliance with company regulations; analyse ICT system; monitor system performance; solve ICT system problems; manage system testing; identify ICT system weaknesses"
software_developer_skills,What skills are required to become a software developer?,global_top15,9,ESCO_2512.5_CH01,C001,user interface developer,user interface developer,-1,Occupational information,0.3617,C001,software developer,,,"Occupation: user interface developer
ESCO code: 2512.5
ISCO group: 2512
Description: User interface developers implement, code, document and maintain the interface of a software system by using front-end development technologies.
Alternative occupation names: user interface engineer; user interface developers; UI programmer; front end developer; UI developer; UI developers
Essential skills and knowledge: software UI design patterns; computer programming; web programming; World Wide Web Consortium standards; integrated development environment software; graphics editor software; style sheet languages; use an application-specific interface; use software design patterns; use methodologies for user-centered design; develop software prototype; interpret technical texts; use software libraries; design graphics; analyse software specifications; draw design sketches; design user interface
Optional skills and knowledge: Haskell; KDevelop; Erlang; SAS language; Ruby (computer programming); Common Lisp; Apache Maven; Lisp; Sass; Visual Basic; Adobe Photoshop; screen reader; Java (computer programming); Drupal; LESS; Adobe Illustrator; Prolog (computer programming); OpenEdge Advanced Business Language; JavaScript; Perl; Smalltalk (computer programming); PHP; Xcode; Assembly (computer programming); GIMP (graphics editor software); C#; R; Groovy; ASP.NET; APL; ICT debugging tools; Puppet (tools for software configuration management); STAF; Vagrant; Eclipse (integrated development environment software); WordPress; Ansible; NoSQL; Microsoft Visual C++; SketchBook Pro; TypeScript; Microsoft Visio; JSSS; Ajax Framework; human-computer interaction; ICT project management; CoffeeScript; Objective-C; JavaScript Framework; tools for software configuration management; ML (computer programming); augmented reality; Synfig; AJAX; C++; SAP R3; Swift (computer programming); MATLAB; Salt (tools for software configuration management); Python (computer programming); Scratch (computer programming); VBScript; software interaction design; COBOL; CSS; Pascal (computer programming); ABAP; Jenkins (tools for software configuration management); Scala; use markup languages; design interaction model; utilise computer-aided software engineering tools; debug software; use concurrent programming; use logic programming; use object-oriented programming; use scripting programming; use query languages; use automatic programming; create flowchart diagram; use functional programming"
software_developer_skills,What skills are required to become a software developer?,global_top15,10,ESCO_2514.3_CH01,C001,industrial mobile devices software developer,industrial mobile devices software developer,-1,Occupational information,0.3667,C001,software developer,,,"Occupation: industrial mobile devices software developer
ESCO code: 2514.3
ISCO group: 2514
Description: Industrial mobile devices software developers implement applications software for specific, professional industrial mobile (handheld) devices, based on the industry needs, using general or specific development tools for device operating systems.
Alternative occupation names: industrial mobile devices software programmer; industrial mobile devices software coder; handheld programmer; handheld software developer
Essential skills and knowledge: embedded systems; computer programming; industrial software; ICT debugging tools; integrated development environment software; mobile operating systems; tools for software configuration management; Internet of Things; use an application-specific interface; utilise computer-aided software engineering tools; debug software; use software design patterns; use different communication channels; develop software prototype; interpret technical texts; use software libraries; create flowchart diagram; design application interfaces; analyse software specifications
Optional skills and knowledge: Haskell; KDevelop; Erlang; SAS language; Ruby (computer programming); Common Lisp; Apache Maven; Lisp; Visual Basic; screen reader; Java (computer programming); Prolog (computer programming); OpenEdge Advanced Business Language; JavaScript; Perl; Smalltalk (computer programming); PHP; software anomalies; Xcode; Assembly (computer programming); C#; R; Groovy; ASP.NET; APL; object-oriented modelling; Puppet (tools for software configuration management); STAF; Eclipse (integrated development environment software); Ansible; ICT security legislation; Microsoft Visual C++; TypeScript; World Wide Web Consortium standards; CoffeeScript; Objective-C; ML (computer programming); AJAX; C++; mobile device software frameworks; BlackBerry; trading software; SAP R3; Swift (computer programming); MATLAB; Salt (tools for software configuration management); Python (computer programming); iOS; Scratch (computer programming); Android (mobile operating systems); VBScript; COBOL; Pascal (computer programming); ABAP; Jenkins (tools for software configuration management); Scala; migrate existing data; identify customer requirements; provide connected car solutions; use concurrent programming; use logic programming; use object-oriented programming; collect customer feedback on applications; use automatic programming; use word processing software; develop creative ideas; use functional programming; integrate system components; adapt to changes in technological development plans; design user interface"
