test_id,information_need,input_style,knowledge_domain,query,relevant_chunk_count,relevant_rank,matched_chunk_id,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,top1_chunk_id,top1_corpus_id,top1_title,top1_occupation_name,top1_distance,retrieved_top5_ids,expected_relevant_ids
RET001,software_developer_skills,English,Occupational information,What skills are required to become a software developer?,1,1,ESCO_2512.4_CH01,1,1,1,1.0,ESCO_2512.4_CH01,C001,software developer,software developer,0.2921,ESCO_2512.4_CH01 | ESCO_2513.5_CH01 | ESCO_2514.2.1_CH01 | ESCO_2512.3_CH01 | ESCO_2512.8_CH01,ESCO_2512.4_CH01
RET002,software_developer_skills,Sinhala,Occupational information,Software developer කෙනෙකුට අවශ්‍ය කුසලතා මොනවාද?,1,1,ESCO_2512.4_CH01,1,1,1,1.0,ESCO_2512.4_CH01,C001,software developer,software developer,0.2836,ESCO_2512.4_CH01 | ESCO_2513.5_CH01 | ESCO_2514.2.1_CH01 | ESCO_2512.8_CH01 | ESCO_2512.3_CH01,ESCO_2512.4_CH01
RET003,software_developer_skills,Tamil,Occupational information,மென்பொருள் உருவாக்குநராக ஆக என்ன திறன்கள் தேவை?,1,1,ESCO_2512.4_CH01,1,1,1,1.0,ESCO_2512.4_CH01,C001,software developer,software developer,0.3821,ESCO_2512.4_CH01 | ESCO_2513.5_CH01 | ESCO_2512.3_CH01 | ESCO_2166.7_CH01 | ESCO_2514.2.1_CH01,ESCO_2512.4_CH01
RET004,software_developer_skills,Singlish,Occupational information,software developer kenek wenna ona skills monawada?,1,1,ESCO_2512.4_CH01,1,1,1,1.0,ESCO_2512.4_CH01,C001,software developer,software developer,0.3141,ESCO_2512.4_CH01 | ESCO_2513.5_CH01 | ESCO_2514.2.1_CH01 | ESCO_2519.7_CH01 | ESCO_2512.3_CH01,ESCO_2512.4_CH01
RET005,software_developer_skills,Tanglish,Occupational information,software developer aaga enna skills venum?,1,1,ESCO_2512.4_CH01,1,1,1,1.0,ESCO_2512.4_CH01,C001,software developer,software developer,0.3852,ESCO_2512.4_CH01 | ESCO_2512.3_CH01 | ESCO_2513.5_CH01 | ESCO_2514.2.1_CH01 | ESCO_2519.7_CH01,ESCO_2512.4_CH01
RET006,web_developer_role,English,Occupational information,What does a web developer do and what skills are needed?,1,1,ESCO_2513.5_CH01,1,1,1,1.0,ESCO_2513.5_CH01,C001,web developer,web developer,0.2665,ESCO_2513.5_CH01 | ESCO_2166.15_CH01 | ESCO_3514.1_CH01 | ESCO_2512.4_CH01 | ESCO_2166.7_CH01,ESCO_2513.5_CH01
RET007,web_developer_role,Sinhala,Occupational information,Web developer කෙනෙක් කරන වැඩ සහ අවශ්‍ය skills මොනවාද?,1,1,ESCO_2513.5_CH01,1,1,1,1.0,ESCO_2513.5_CH01,C001,web developer,web developer,0.2483,ESCO_2513.5_CH01 | ESCO_2166.15_CH01 | ESCO_3514.1_CH01 | ESCO_2512.4_CH01 | ESCO_2512.5_CH01,ESCO_2513.5_CH01
RET008,web_developer_role,Tamil,Occupational information,Web developer என்ன வேலை செய்கிறார் மற்றும் என்ன skills தேவை?,1,1,ESCO_2513.5_CH01,1,1,1,1.0,ESCO_2513.5_CH01,C001,web developer,web developer,0.2616,ESCO_2513.5_CH01 | ESCO_2166.15_CH01 | ESCO_3514.1_CH01 | ESCO_2512.4_CH01 | ESCO_2512.5_CH01,ESCO_2513.5_CH01
RET009,web_developer_role,Singlish,Occupational information,web developer kenek karanne monawada saha ona skills monawada?,1,1,ESCO_2513.5_CH01,1,1,1,1.0,ESCO_2513.5_CH01,C001,web developer,web developer,0.4931,ESCO_2513.5_CH01 | ESCO_2166.15_CH01 | ESCO_3514.1_CH01 | ESCO_2166.6_CH01 | ESCO_2359.7_CH01,ESCO_2513.5_CH01
RET010,web_developer_role,Tanglish,Occupational information,"web developer enna velai seivanga, enna skills venum?",1,1,ESCO_2513.5_CH01,1,1,1,1.0,ESCO_2513.5_CH01,C001,web developer,web developer,0.4563,ESCO_2513.5_CH01 | ESCO_2166.15_CH01 | ESCO_2512.4_CH01 | ESCO_2120.3_CH01 | ESCO_2359.7_CH01,ESCO_2513.5_CH01
RET011,rpl_nvq,English,Education and training pathways,What is Recognition of Prior Learning and how is it related to NVQ?,3,1,C003_P92_CH01,1,1,1,1.0,C003_P92_CH01,C003,NVQ Framework of Sri Lanka - Operations Manual 2021,,0.2892,C003_P92_CH01 | C003_P94_CH01 | C003_P119_CH01 | C003_P7_CH01 | C003_P19_CH01,C003_P19_CH01 | C003_P92_CH01 | C003_P94_CH01
RET012,rpl_nvq,Sinhala,Education and training pathways,RPL කියන්නේ මොකක්ද සහ ඒක NVQ එකට සම්බන්ධ වෙන්නේ කොහොමද?,3,1,C003_P19_CH01,1,1,1,1.0,C003_P19_CH01,C003,NVQ Framework of Sri Lanka - Operations Manual 2021,,0.4386,C003_P19_CH01 | C003_P94_CH01 | C003_P92_CH01 | C003_P95_CH01 | C003_P7_CH01,C003_P19_CH01 | C003_P92_CH01 | C003_P94_CH01
RET013,rpl_nvq,Tamil,Education and training pathways,"RPL என்றால் என்ன, அது NVQ உடன் எவ்வாறு தொடர்புடையது?",3,1,C003_P94_CH01,1,1,1,1.0,C003_P94_CH01,C003,NVQ Framework of Sri Lanka - Operations Manual 2021,,0.4344,C003_P94_CH01 | C003_P19_CH01 | C003_P92_CH01 | C003_P7_CH01 | C003_P95_CH01,C003_P19_CH01 | C003_P92_CH01 | C003_P94_CH01
RET014,rpl_nvq,Singlish,Education and training pathways,RPL kiyanne mokakda NVQ ekata sambandha wenne kohomada?,3,1,C003_P19_CH01,1,1,1,1.0,C003_P19_CH01,C003,NVQ Framework of Sri Lanka - Operations Manual 2021,,0.4333,C003_P19_CH01 | C003_P94_CH01 | C003_P92_CH01 | C003_P7_CH01 | C003_P93_CH01,C003_P19_CH01 | C003_P92_CH01 | C003_P94_CH01
RET015,rpl_nvq,Tanglish,Education and training pathways,"RPL na enna, adhu NVQ oda eppadi connect aaguthu?",3,1,C003_P19_CH01,1,1,1,1.0,C003_P19_CH01,C003,NVQ Framework of Sri Lanka - Operations Manual 2021,,0.4465,C003_P19_CH01 | C003_P94_CH01 | C003_P92_CH01 | C003_P95_CH01 | C003_P7_CH01,C003_P19_CH01 | C003_P92_CH01 | C003_P94_CH01
RET016,nvq_progression,English,Education and training pathways,Can I progress to higher qualification levels through the Sri Lankan NVQ system?,6,1,C003_P19_CH01,1,1,1,1.0,C003_P19_CH01,C003,NVQ Framework of Sri Lanka - Operations Manual 2021,,0.2275,C003_P19_CH01 | C003_P17_CH01 | C003_P21_CH01 | C003_P20_CH01 | C003_P16_CH01,C003_P102_CH01 | C003_P17_CH01 | C003_P19_CH01 | C003_P20_CH01 | C003_P21_CH01 | C003_P56_CH01
RET017,nvq_progression,Sinhala,Education and training pathways,Sri Lanka NVQ system එකෙන් ඉහළ qualification level එකකට යන්න පුළුවන්ද?,6,1,C003_P19_CH01,1,1,1,1.0,C003_P19_CH01,C003,NVQ Framework of Sri Lanka - Operations Manual 2021,,0.2139,C003_P19_CH01 | C003_P20_CH01 | C003_P17_CH01 | C003_P16_CH01 | C003_P21_CH01,C003_P102_CH01 | C003_P17_CH01 | C003_P19_CH01 | C003_P20_CH01 | C003_P21_CH01 | C003_P56_CH01
RET018,nvq_progression,Tamil,Education and training pathways,Sri Lanka NVQ system மூலம் உயர்ந்த qualification level க்கு செல்ல முடியுமா?,6,1,C003_P19_CH01,1,1,1,1.0,C003_P19_CH01,C003,NVQ Framework of Sri Lanka - Operations Manual 2021,,0.222,C003_P19_CH01 | C003_P20_CH01 | C003_P17_CH01 | C003_P21_CH01 | C003_P16_CH01,C003_P102_CH01 | C003_P17_CH01 | C003_P19_CH01 | C003_P20_CH01 | C003_P21_CH01 | C003_P56_CH01
RET019,nvq_progression,Singlish,Education and training pathways,Sri Lanka NVQ system eken higher qualification level ekakata yanna puluwanda?,6,1,C003_P17_CH01,1,1,1,1.0,C003_P17_CH01,C003,NVQ Framework of Sri Lanka - Operations Manual 2021,,0.328,C003_P17_CH01 | C003_P19_CH01 | C003_P16_CH01 | C003_P20_CH01 | C003_P53_CH01,C003_P102_CH01 | C003_P17_CH01 | C003_P19_CH01 | C003_P20_CH01 | C003_P21_CH01 | C003_P56_CH01
RET020,nvq_progression,Tanglish,Education and training pathways,Sri Lanka NVQ system la higher qualification level ku pogalama?,6,1,C003_P17_CH01,1,1,1,1.0,C003_P17_CH01,C003,NVQ Framework of Sri Lanka - Operations Manual 2021,,0.3254,C003_P17_CH01 | C003_P19_CH01 | C003_P16_CH01 | C003_P53_CH01 | C003_P20_CH01,C003_P102_CH01 | C003_P17_CH01 | C003_P19_CH01 | C003_P20_CH01 | C003_P21_CH01 | C003_P56_CH01
RET021,software_engineering_admission,English,Education and training pathways,What are the minimum eligibility requirements for Software Engineering admission in Sri Lankan state universities?,1,1,C005_P110_CH01,1,1,1,1.0,C005_P110_CH01,C005,University Admissions Handbook 2025/2026,,0.2218,C005_P110_CH01 | C005_P99_CH01 | C005_P84_CH01 | C005_P64_CH01 | C005_P103_CH01,C005_P110_CH01
RET022,software_engineering_admission,Sinhala,Education and training pathways,ශ්‍රී ලංකාවේ රාජ්‍ය විශ්වවිද්‍යාලවල Software Engineering පාඨමාලාවට ඇතුළත් වීමට අවශ්‍ය අවම සුදුසුකම් මොනවාද?,1,,,0,0,0,0.0,ESCO_2512.4_CH01,C001,software developer,software developer,0.4376,ESCO_2512.4_CH01 | ESCO_2512.3_CH01 | ESCO_2519.7_CH01 | ESCO_2514.2.1_CH01 | ESCO_2512.2_CH01,C005_P110_CH01
RET023,software_engineering_admission,Tamil,Education and training pathways,இலங்கை அரச பல்கலைக்கழகங்களில் Software Engineering படிப்பில் சேர தேவையான குறைந்தபட்ச தகுதிகள் என்ன?,1,1,C005_P110_CH01,1,1,1,1.0,C005_P110_CH01,C005,University Admissions Handbook 2025/2026,,0.2547,C005_P110_CH01 | C005_P84_CH01 | C005_P99_CH01 | C005_P92_CH01 | C005_P107_CH01,C005_P110_CH01
RET024,software_engineering_admission,Singlish,Education and training pathways,Sri Lanka state university wala Software Engineering course ekata enter wenna minimum qualifications monawada?,1,1,C005_P110_CH01,1,1,1,1.0,C005_P110_CH01,C005,University Admissions Handbook 2025/2026,,0.2095,C005_P110_CH01 | C005_P99_CH01 | C005_P103_CH01 | C005_P84_CH01 | C005_P55_CH01,C005_P110_CH01
RET025,software_engineering_admission,Tanglish,Education and training pathways,Sri Lanka state university la Software Engineering course ku sera minimum qualifications enna?,1,1,C005_P110_CH01,1,1,1,1.0,C005_P110_CH01,C005,University Admissions Handbook 2025/2026,,0.2224,C005_P110_CH01 | C005_P99_CH01 | C005_P84_CH01 | C005_P103_CH01 | C005_P92_CH01,C005_P110_CH01
RET026,cv_skills,English,Career preparation,How should I show my skills and experience in a CV?,5,1,C006_P75_CH01,1,1,1,1.0,C006_P75_CH01,C006,How to Support a Jobseeker?,,0.3493,C006_P75_CH01 | C006_P74_CH01 | C006_P73_CH01 | C006_P73_CH02 | C006_P64_CH01,C002_P8_CH01 | C006_P73_CH02 | C006_P74_CH01 | C006_P75_CH01 | C007_P36_CH01
RET027,cv_skills,Sinhala,Career preparation,CV එකේ මගේ skills සහ experience හොඳට පෙන්වන්නේ කොහොමද?,5,1,C006_P75_CH01,1,1,1,1.0,C006_P75_CH01,C006,How to Support a Jobseeker?,,0.342,C006_P75_CH01 | C006_P74_CH01 | C007_P23_CH01 | C006_P64_CH01 | C006_P73_CH01,C002_P8_CH01 | C006_P73_CH02 | C006_P74_CH01 | C006_P75_CH01 | C007_P36_CH01
RET028,cv_skills,Tamil,Career preparation,CV இல் எனது skills மற்றும் experience ஐ எப்படி நன்றாக காட்டுவது?,5,1,C006_P75_CH01,1,1,1,1.0,C006_P75_CH01,C006,How to Support a Jobseeker?,,0.3594,C006_P75_CH01 | C006_P74_CH01 | C006_P64_CH01 | C007_P23_CH01 | C006_P73_CH01,C002_P8_CH01 | C006_P73_CH02 | C006_P74_CH01 | C006_P75_CH01 | C007_P36_CH01
RET029,cv_skills,Singlish,Career preparation,CV eke mage skills saha experience pennanne kohomada?,5,,,0,0,0,0.0,C003_P129_CH01,C003,NVQ Framework of Sri Lanka - Operations Manual 2021,,0.5628,C003_P129_CH01 | C003_P42_CH01 | C005_P32_CH01 | C003_P79_CH01 | C003_P22_CH01,C002_P8_CH01 | C006_P73_CH02 | C006_P74_CH01 | C006_P75_CH01 | C007_P36_CH01
RET030,cv_skills,Tanglish,Career preparation,CV la en skills um experience um eppadi show panrathu?,5,1,C006_P75_CH01,1,1,1,1.0,C006_P75_CH01,C006,How to Support a Jobseeker?,,0.4177,C006_P75_CH01 | C003_P79_CH01 | C006_P74_CH01 | C003_P129_CH01 | C003_P22_CH01,C002_P8_CH01 | C006_P73_CH02 | C006_P74_CH01 | C006_P75_CH01 | C007_P36_CH01
RET031,youth_unemployment,English,Labour-market information,What is the unemployment situation among young people in Sri Lanka?,4,1,C008_P4_CH01,1,1,1,1.0,C008_P4_CH01,C008,Labour Force Survey Annual Bulletin 2025,,0.2708,C008_P4_CH01 | C008_P3_CH01 | C009_P9_CH01 | C009_P15_CH01 | C008_P5_CH01,C008_P4_CH01 | C008_P5_CH01 | C009_P15_CH01 | C009_P8_CH01
RET032,youth_unemployment,Sinhala,Labour-market information,ශ්‍රී ලංකාවේ තරුණයන් අතර රැකියා විරහිතභාවය කොහොමද?,4,1,C008_P4_CH01,1,1,1,1.0,C008_P4_CH01,C008,Labour Force Survey Annual Bulletin 2025,,0.4084,C008_P4_CH01 | C007_P7_CH01 | C009_P9_CH01 | C007_P16_CH01 | C009_P32_CH01,C008_P4_CH01 | C008_P5_CH01 | C009_P15_CH01 | C009_P8_CH01
RET033,youth_unemployment,Tamil,Labour-market information,இலங்கையில் இளைஞர்களின் வேலையின்மை நிலை எப்படி உள்ளது?,4,1,C008_P4_CH01,1,1,1,1.0,C008_P4_CH01,C008,Labour Force Survey Annual Bulletin 2025,,0.3652,C008_P4_CH01 | C007_P7_CH01 | C009_P15_CH01 | C009_P10_CH01 | C009_P32_CH01,C008_P4_CH01 | C008_P5_CH01 | C009_P15_CH01 | C009_P8_CH01
RET034,youth_unemployment,Singlish,Labour-market information,Sri Lankawe young people athara unemployment situation eka kohomada?,4,1,C008_P4_CH01,1,1,1,1.0,C008_P4_CH01,C008,Labour Force Survey Annual Bulletin 2025,,0.3242,C008_P4_CH01 | C008_P3_CH01 | C008_P2_CH01 | C009_P9_CH01 | C009_P10_CH01,C008_P4_CH01 | C008_P5_CH01 | C009_P15_CH01 | C009_P8_CH01
RET035,youth_unemployment,Tanglish,Labour-market information,Sri Lanka la young people oda unemployment situation eppadi irukku?,4,1,C008_P4_CH01,1,1,1,1.0,C008_P4_CH01,C008,Labour Force Survey Annual Bulletin 2025,,0.2822,C008_P4_CH01 | C008_P3_CH01 | C009_P15_CH01 | C009_P10_CH01 | C009_P9_CH01,C008_P4_CH01 | C008_P5_CH01 | C009_P15_CH01 | C009_P8_CH01
RET036,nysc_training_centres,English,Education and training pathways,What NYSC training centres are available in Sri Lanka?,1,1,C012_HTML_CH01,1,1,1,1.0,C012_HTML_CH01,C012,NYSC Training Centres Directory,,0.3176,C012_HTML_CH01 | C011_HTML_CH01 | C013_HTML_CH01 | C003_P108_CH01 | C003_P3_CH01,C012_HTML_CH01
RET037,nysc_training_centres,Sinhala,Education and training pathways,ශ්‍රී ලංකාවේ තියෙන NYSC training centres මොනවාද?,1,1,C012_HTML_CH01,1,1,1,1.0,C012_HTML_CH01,C012,NYSC Training Centres Directory,,0.3877,C012_HTML_CH01 | C011_HTML_CH01 | C013_HTML_CH01 | C003_P108_CH01 | C003_P60_CH01,C012_HTML_CH01
RET038,nysc_training_centres,Tamil,Education and training pathways,இலங்கையில் உள்ள NYSC training centres என்னென்ன?,1,1,C012_HTML_CH01,1,1,1,1.0,C012_HTML_CH01,C012,NYSC Training Centres Directory,,0.3875,C012_HTML_CH01 | C011_HTML_CH01 | C013_HTML_CH01 | C003_P108_CH01 | C003_P101_CH01,C012_HTML_CH01
RET039,nysc_training_centres,Singlish,Education and training pathways,Sri Lankawe thiyena NYSC training centres monawada?,1,1,C012_HTML_CH01,1,1,1,1.0,C012_HTML_CH01,C012,NYSC Training Centres Directory,,0.3394,C012_HTML_CH01 | C011_HTML_CH01 | C013_HTML_CH01 | C003_P125_CH01 | C003_P12_CH01,C012_HTML_CH01
RET040,nysc_training_centres,Tanglish,Education and training pathways,Sri Lanka la irukkura NYSC training centres enna?,1,1,C012_HTML_CH01,1,1,1,1.0,C012_HTML_CH01,C012,NYSC Training Centres Directory,,0.3806,C012_HTML_CH01 | C011_HTML_CH01 | C013_HTML_CH01 | C003_P60_CH01 | C003_P12_CH01,C012_HTML_CH01
