source_id,title,organization,source_url,knowledge_domain,source_type,usage_role,publication_or_version,validity_period,accessed_date,language,authority_tier,freshness_class,access_check_status,screening_status,capture_plan,intended_rag_use,local_filename,sha256,review_frequency,notes
SRC001,International Standard Classification of Occupations (ISCO-08),International Labour Organization (ILO),https://isco.ilo.org/en/isco-08/,Occupational taxonomy / methodology,Official classification portal,methodology_reference,ISCO-08,,2026-08-25,English,Tier 2 - International authoritative,Stable,VERIFIED_ACCESSIBLE,INCLUDE_NOT_INDEXED,Reference official classification page,Taxonomic/methodological justification for occupational coverage; ESCO provides indexed occupation content,,,Annual check,Do not separately embed the full ISCO site in V1; ESCO already maps occupations to ISCO groups.
SRC002,ESCO Classification Dataset - English CSV,European Commission,https://esco.ec.europa.eu/en/use-esco/download,Occupational information and occupation-skill relationships,Official structured dataset,rag_content,ESCO v1.2.1,Versioned dataset,2026-08-25,English,Tier 2 - International authoritative,Stable/versioned,MANUALLY_VERIFIED_ACCESSIBLE,INCLUDE,Keep original downloaded CSV files unchanged in raw/esco; index processed profiles,"Occupation names, descriptions, alternative labels, ISCO group, essential skills, optional skills",raw/esco/,,Adopt newer version only through a new corpus version,"Processed V1 contains 3,039 validated unique occupation profiles."
SRC003,National Policy on Technical and Vocational Education 2018,"National Education Commission (NEC), Sri Lanka",https://nec.gov.lk/national-policy-on-technical-and-vocational-education-2018/,TVET policy and career-guidance methodology,Official policy publication,methodology_reference,2018,,2026-08-25,English; Sinhala; Tamil,Tier 1 - Sri Lankan official/public authority,Stable,VERIFIED_ACCESSIBLE,INCLUDE_NOT_INDEXED,Retain as methodology evidence,Policy/context justification for authoritative career and TVET information,,,Annual check for superseding policy,Methodology reference rather than a primary answer source.
SRC004,Guidelines for Portfolio Preparing,CareerOne / Tertiary and Vocational Education Commission (TVEC),https://www.careerone.gov.lk/storage/cgo/content-management/documents/102/Guidelines-for-Portfolio-Preparing.pdf,Career preparation,Official guidance PDF,rag_content,,,2026-08-25,English,Tier 1 - Sri Lankan official/regulatory platform,Semi-dynamic,MANUALLY_VERIFIED_ACCESSIBLE,INCLUDE,Download original PDF,"Portfolio structure, personal statement, CV/supporting-document guidance",raw/documents/careerone_portfolio_guide.pdf,,Every 6 months,Use only truthful career-preparation guidance; never encourage fabrication.
SRC005,National Vocational Qualifications Framework of Sri Lanka - Operations Manual,Tertiary and Vocational Education Commission (TVEC),https://www.careerone.gov.lk/storage/policies/NVQ%20Operational%20Manual-2021.pdf,Education and training pathways,Official operations manual PDF,rag_content,Third Revision - 2021,,2026-08-25,English,Tier 1 - Sri Lankan official/regulatory,Stable,MANUALLY_VERIFIED_ACCESSIBLE,INCLUDE,Download original PDF from the current CareerOne/TVEC-hosted route,"NVQ levels, qualification pathways, flexible skills acquisition, RPL, assessment/certification, training-provider framework",raw/documents/nvq_operational_manual_2021.pdf,,Annual check for a revised manual,Index relevant guidance sections rather than administrative boilerplate.
SRC006,Recognition of Prior Learning (RPL),National Apprentice and Industrial Training Authority (NAITA),https://naita.gov.lk/RPL,Education and training pathways,Official guidance webpage,rag_content,,Current webpage as captured,2026-08-25,English,Tier 1 - Sri Lankan official/public training authority,Semi-dynamic,MANUALLY_VERIFIED_ACCESSIBLE,INCLUDE_WITH_REFRESH,Save dated HTML snapshot,"RPL concept, evidence, assessment route and link to NVQ certification",raw/web/naita_rpl_2026-08-25.html,,Every 6 months,Fees/contact/administrative requirements may change; date-label or omit volatile details.
SRC007,University Admissions Handbook 2025/2026,"University Grants Commission (UGC), Sri Lanka",https://www.ugc.ac.lk/downloads/admissions/Handbook_2025_26/student_handbook_english.pdf,Education and training pathways,Official admissions handbook PDF,rag_content,Academic Year 2025/2026,2025/2026 admissions cycle,2026-08-25,English,Tier 1 - Sri Lankan official higher-education regulator,Validity-bound,MANUALLY_VERIFIED_ACCESSIBLE,INCLUDE_WITH_VALIDITY,Download original PDF,"Courses of study, state university/HEI pathways and relevant course-specific admission information",raw/documents/ugc_handbook_2025_2026.pdf,,Each admissions cycle,All admission requirements must retain academic-year metadata.
SRC008,How to Support a Jobseeker?,International Labour Organization (ILO),https://www.ilo.org/sites/default/files/wcmsp5/groups/public/%40ed_emp/documents/publication/wcms_882743.pdf,Career preparation,Authoritative handbook PDF,rag_content,,,2026-08-25,English,Tier 2 - International authoritative,Stable,MANUALLY_VERIFIED_ACCESSIBLE,INCLUDE,Download original PDF; extract relevant jobseeker-support sections,"CV, applications, structured job search, professional profile, online job search and interview preparation",raw/documents/ilo_support_jobseeker.pdf,,Annual check,"Use for general career-preparation methods, not Sri Lanka-specific labour-market facts."
SRC009,Guiding Youth Careers: A Handbook for Those Who Help Young Jobseekers,International Labour Organization (ILO),https://www.ilo.org/sites/default/files/wcmsp5/groups/public/%40ed_emp/%40ifp_skills/documents/publication/wcms_154445.pdf,Career preparation,Authoritative youth-career handbook PDF,rag_content,,,2026-08-25,English,Tier 2 - International authoritative,Stable,MANUALLY_VERIFIED_ACCESSIBLE,INCLUDE,Download original PDF; extract relevant youth-career sections,"Youth career planning, interview preparation and career-development guidance",raw/documents/ilo_guiding_youth_careers.pdf,,Annual check,Retain sections that complement rather than duplicate SRC008.
SRC010,Sri Lanka Labour Force Survey - Annual Bulletin 2025,"Department of Census and Statistics (DCS), Sri Lanka",https://www.statistics.gov.lk/Resource/en/LabourForce/Bulletins/LFS_Annual%20Bulletin_2025.pdf,Labour-market information,Official statistical bulletin PDF,rag_content,2025,Reporting year 2025,2026-08-25,English,Tier 1 - Sri Lankan official statistics,Time-stamped,MANUALLY_VERIFIED_ACCESSIBLE,INCLUDE_WITH_VALIDITY,Download original PDF,"Annual employment, unemployment, labour-force participation and youth labour-market context",raw/documents/dcs_lfs_annual_2025.pdf,,Annual,Every statistic must retain reporting period; never present historical values as undated/current.
