test_id,information_need,input_style,knowledge_domain,query,expected_corpus_id,expected_occupation_name,relevant_rank,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,top1_corpus_id,top1_occupation_name,top1_title,top1_distance
RET001,software_developer_skills,English,Occupational information,What skills are required to become a software developer?,C001,software developer,1,1,1,1,1.0,C001,software developer,software developer,0.2921
RET002,software_developer_skills,Sinhala,Occupational information,Software developer කෙනෙකුට අවශ්‍ය කුසලතා මොනවාද?,C001,software developer,1,1,1,1,1.0,C001,software developer,software developer,0.2836
RET003,software_developer_skills,Tamil,Occupational information,மென்பொருள் உருவாக்குநராக ஆக என்ன திறன்கள் தேவை?,C001,software developer,1,1,1,1,1.0,C001,software developer,software developer,0.3821
RET004,software_developer_skills,Singlish,Occupational information,software developer kenek wenna ona skills monawada?,C001,software developer,1,1,1,1,1.0,C001,software developer,software developer,0.3141
RET005,software_developer_skills,Tanglish,Occupational information,software developer aaga enna skills venum?,C001,software developer,1,1,1,1,1.0,C001,software developer,software developer,0.3852
RET006,web_developer_role,English,Occupational information,What does a web developer do and what skills are needed?,C001,web developer,1,1,1,1,1.0,C001,web developer,web developer,0.2665
RET007,web_developer_role,Sinhala,Occupational information,Web developer කෙනෙක් කරන වැඩ සහ අවශ්‍ය skills මොනවාද?,C001,web developer,1,1,1,1,1.0,C001,web developer,web developer,0.2483
RET008,web_developer_role,Tamil,Occupational information,Web developer என்ன வேலை செய்கிறார் மற்றும் என்ன skills தேவை?,C001,web developer,1,1,1,1,1.0,C001,web developer,web developer,0.2616
RET009,web_developer_role,Singlish,Occupational information,web developer kenek karanne monawada saha ona skills monawada?,C001,web developer,1,1,1,1,1.0,C001,web developer,web developer,0.4931
RET010,web_developer_role,Tanglish,Occupational information,"web developer enna velai seivanga, enna skills venum?",C001,web developer,1,1,1,1,1.0,C001,web developer,web developer,0.4563
RET011,rpl_nvq,English,Education and training pathways,What is Recognition of Prior Learning and how is it related to NVQ?,C003,,1,1,1,1,1.0,C003,,NVQ Framework of Sri Lanka - Operations Manual 2021,0.2892
RET012,rpl_nvq,Sinhala,Education and training pathways,RPL කියන්නේ මොකක්ද සහ ඒක NVQ එකට සම්බන්ධ වෙන්නේ කොහොමද?,C003,,1,1,1,1,1.0,C003,,NVQ Framework of Sri Lanka - Operations Manual 2021,0.4386
RET013,rpl_nvq,Tamil,Education and training pathways,"RPL என்றால் என்ன, அது NVQ உடன் எவ்வாறு தொடர்புடையது?",C003,,1,1,1,1,1.0,C003,,NVQ Framework of Sri Lanka - Operations Manual 2021,0.4344
RET014,rpl_nvq,Singlish,Education and training pathways,RPL kiyanne mokakda NVQ ekata sambandha wenne kohomada?,C003,,1,1,1,1,1.0,C003,,NVQ Framework of Sri Lanka - Operations Manual 2021,0.4333
RET015,rpl_nvq,Tanglish,Education and training pathways,"RPL na enna, adhu NVQ oda eppadi connect aaguthu?",C003,,1,1,1,1,1.0,C003,,NVQ Framework of Sri Lanka - Operations Manual 2021,0.4465
