Age,Gender_Male,Gender_Female,Edu_Level,Field_IT,Field_Business,Field_Engineering,Field_Vocational,Field_Arts,Field_Science,Field_General,Skill_Analytical,Skill_Resilience,Skill_Leadership,Skill_Creative,Skill_Motivation,Skill_Tech_Literacy,Skill_Empathy,Skill_Curiosity,Target_Employed
24,0,1,2,1,0,0,0,0,0,0,4,1,2,5,2,4,2,1,0
21,1,0,4,0,0,0,0,0,1,0,1,5,3,4,4,3,1,1,1
28,1,0,6,0,1,0,0,0,0,0,2,5,5,5,2,5,3,2,1
25,1,0,3,0,0,0,1,0,0,0,3,2,5,3,3,3,2,4,1
22,0,1,1,0,0,0,0,0,1,0,5,3,4,5,5,3,3,2,1
24,1,0,6,0,1,0,0,0,0,0,4,4,3,5,3,5,5,3,1
27,0,1,3,0,0,1,0,0,0,0,1,4,5,5,1,2,1,1,0
20,0,1,3,0,0,0,1,0,0,0,5,4,1,2,3,1,1,2,0
24,1,0,1,0,0,1,0,0,0,0,4,1,1,4,2,1,4,1,0
28,0,1,3,0,0,0,0,0,1,0,3,5,3,1,2,5,3,4,1
28,1,0,2,0,0,0,1,0,0,0,2,3,4,1,4,3,3,1,0
25,0,1,1,0,0,0,0,1,0,0,4,4,1,4,1,2,3,2,0
22,0,1,3,0,1,0,0,0,0,0,5,5,5,1,4,2,2,2,1
21,1,0,5,0,0,0,0,0,1,0,2,5,2,4,5,2,1,3,0
25,1,0,6,1,0,0,0,0,0,0,3,3,5,2,5,4,1,1,0
25,1,0,3,0,0,0,1,0,0,0,3,3,3,2,4,4,4,4,1
20,1,0,2,0,0,0,1,0,0,0,3,1,3,4,3,4,5,1,1
23,1,0,4,0,0,0,0,0,0,1,5,2,3,2,3,5,4,4,1
22,1,0,3,0,0,0,0,0,1,0,3,4,5,4,5,2,5,1,1
19,1,0,4,0,0,0,0,0,1,0,1,1,3,3,3,5,3,2,0
25,0,1,5,0,0,1,0,0,0,0,1,5,1,3,5,4,2,3,1
29,1,0,3,0,0,0,0,0,0,1,3,2,2,4,3,3,1,5,0
23,0,1,1,0,0,0,0,1,0,0,5,1,5,2,5,5,1,4,1
19,1,0,4,0,0,1,0,0,0,0,5,5,4,1,4,1,2,1,1
29,1,0,5,0,0,0,0,0,0,1,2,2,1,3,1,5,5,3,1
22,0,1,1,0,0,1,0,0,0,0,2,3,5,3,1,3,2,1,0
18,1,0,1,0,0,0,0,1,0,0,4,5,5,3,1,4,1,5,1
29,1,0,1,0,0,0,0,0,0,1,1,4,3,2,1,2,5,3,0
