corpus_id,source_id,organization,title,knowledge_domain,asset_type,source_url,planned_local_or_processed_path,decision,freshness_or_validity,content_to_index,content_to_exclude_or_caution
C001,SRC002,European Commission,ESCO Occupation Profiles - processed from ESCO v1.2.1 English CSV,Occupational information,Processed JSONL dataset,https://esco.ec.europa.eu/en/use-esco/download,processed/esco_occupation_profiles.jsonl,INCLUDE,Versioned: ESCO v1.2.1,"3,039 occupation profiles: name, description, alternative labels, ISCO group, essential skills and optional skills","Do not use ESCO for Sri Lankan salaries, vacancies, admission rules or local training availability."
C002,SRC004,CareerOne / TVEC,Guidelines for Portfolio Preparing,Career preparation,PDF,https://www.careerone.gov.lk/storage/cgo/content-management/documents/102/Guidelines-for-Portfolio-Preparing.pdf,raw/documents/careerone_portfolio_guide.pdf,INCLUDE,Semi-dynamic,"Portfolio preparation, personal statement, CV/supporting-document guidance",Exclude promotional/navigation material and unsupported claims.
C003,SRC005,TVEC,NVQ Framework of Sri Lanka - Operations Manual 2021,Education and training pathways,PDF,https://www.careerone.gov.lk/storage/policies/NVQ%20Operational%20Manual-2021.pdf,raw/documents/nvq_operational_manual_2021.pdf,INCLUDE,Stable; review for revised edition,"NVQ levels, upgrading pathways, flexible learning/skills acquisition, RPL, qualifications/certification and training framework",Exclude administrative detail not useful to user guidance.
C004,SRC006,NAITA,Recognition of Prior Learning (RPL),Education and training pathways,Dated HTML snapshot,https://naita.gov.lk/RPL,raw/web/naita_rpl_2026-08-25.html,INCLUDE_WITH_REFRESH,Capture date: 2026-08-25,"RPL purpose, evidence, assessment route and NVQ pathway","Fees, contacts and administrative requirements should be date-labelled or omitted from stable chunks."
C005,SRC007,UGC Sri Lanka,University Admissions Handbook 2025/2026,Education and training pathways,PDF,https://www.ugc.ac.lk/downloads/admissions/Handbook_2025_26/student_handbook_english.pdf,raw/documents/ugc_handbook_2025_2026.pdf,INCLUDE_WITH_VALIDITY,Academic Year 2025/2026 only,"Courses of study, university/HEI pathways and relevant course-specific requirements",Exclude transactional application instructions where not useful; preserve academic-year validity.
C006,SRC008,ILO,How to Support a Jobseeker?,Career preparation,PDF,https://www.ilo.org/sites/default/files/wcmsp5/groups/public/%40ed_emp/documents/publication/wcms_882743.pdf,raw/documents/ilo_support_jobseeker.pdf,INCLUDE_SELECTIVE,Stable,"CV/application preparation, structured job search, professional profile, online job search and interview preparation",Exclude unrelated programme administration and duplicated sections.
C007,SRC009,ILO,Guiding Youth Careers,Career preparation,PDF,https://www.ilo.org/sites/default/files/wcmsp5/groups/public/%40ed_emp/%40ifp_skills/documents/publication/wcms_154445.pdf,raw/documents/ilo_guiding_youth_careers.pdf,INCLUDE_SELECTIVE,Stable,"Youth career planning, employability preparation and interview/career-development guidance complementing C006",Avoid indexing large sections that duplicate C006.
C008,SRC010,DCS Sri Lanka,Labour Force Survey Annual Bulletin 2025,Labour-market information,PDF,https://www.statistics.gov.lk/Resource/en/LabourForce/Bulletins/LFS_Annual%20Bulletin_2025.pdf,raw/documents/dcs_lfs_annual_2025.pdf,INCLUDE_WITH_VALIDITY,Reporting year 2025,"Employment/unemployment, labour-force participation and youth labour-market context",Every numeric claim must retain reporting year; not causal evidence about an individual.
C009,SRC011,DCS Sri Lanka,Labour Force Survey First Quarter 2026,Labour-market information,PDF,https://www.statistics.gov.lk/Resource/en/LabourForce/Quarterly_Reports/1stQuarter2026.pdf,raw/documents/dcs_lfs_q1_2026.pdf,INCLUDE_WITH_VALIDITY,Q1 2026,Recent national and youth labour-market context,Always label Q1 2026; refresh only through a new corpus version.
C010,SRC012,Ministry of Labour Sri Lanka,Progress Report 2025 - selected Department of Manpower and Employment sections,Career support and referral,PDF,https://labourmin.gov.lk/wp-content/uploads/2025/03/3.MinistryofLabour_E-compressed.pdf,raw/documents/ministry_labour_progress_report_2025.pdf,INCLUDE_SELECTIVE,Time-stamped report,"Career guidance, labour-market information, public employment services, job creation/promotion and referral context","Do not index unrelated labour-law, finance or administrative chapters."
C011,SRC013,National Youth Services Council,Technical and Vocational Training Division,Education and training pathways,Dated HTML snapshot,https://www.nysc.lk/page/view/technical-and-vocational-training-division,raw/web/nysc_technical_vocational_training_division_2026-08-25.html,INCLUDE_WITH_REFRESH,Capture date: 2026-08-25,"NYSC technical/vocational training mission, centre role and training-pathway context",Exclude circular/forms/calendar boilerplate unless needed.
C012,SRC014,National Youth Services Council,NYSC Training Centres Directory,Education and training pathways,Dated HTML snapshot,https://www.nysc.lk/centers,raw/web/nysc_training_centers_2026-08-25.html,INCLUDE_WITH_REFRESH,Capture date: 2026-08-25,"Centre names, addresses and course-count context for local training referral",Course counts/availability can change; state snapshot date and refer to official page for confirmation.
C013,SRC015,National Youth Services Council,Examination and Assessment Division,Education and training pathways,Dated HTML snapshot,https://www.nysc.lk/page/view/examination-and-assessment-division,raw/web/nysc_examination_assessment_division_2026-08-25.html,INCLUDE_WITH_REFRESH,Capture date: 2026-08-25,"NYSC assessment/certification, NVQ certificates, RPL and OJT process context",Contacts and operating procedures may change; preserve capture date.
