exclusion_id,title_or_source,organization,source_url_or_file,source_type,exclusion_code,exclusion_reason,screened_date,decision,future_handling
EXC001,CareerOne Platform Guideline / User Manual,CareerOne / TVEC,https://www.careerone.gov.lk/guideline,User manual webpage,E08,Authoritative but mainly explains how to operate CareerOne; insufficient substantive career-guidance knowledge for RAG.,2026-08-25,EXCLUDE_FROM_RAG,Retain outside corpus as service documentation if needed.
EXC002,NAITA homepage,NAITA,https://naita.gov.lk/,Broad homepage,E14,Too broad and mixed with changing announcements; not a precise knowledge source.,2026-08-25,EXCLUDE_AS_CORE_SOURCE,Use specific pages such as RPL.
EXC003,NAITA Downloads page,NAITA,https://naita.gov.lk/downloads,Download index,E08;E14,Navigation/download page; no sufficiently useful stable V1 guidance document identified.,2026-08-25,EXCLUDE_FROM_RAG,Re-screen only if a specific official document is identified.
EXC004,CareerOne Related Policies page,CareerOne / TVEC,https://www.careerone.gov.lk/career-guidance/employment/employment-policy,Source-discovery/index page,E14,Useful for discovering documents but the index itself adds little substantive knowledge.,2026-08-25,NOT_INDEXED,Use direct NVQ manual SRC005 instead.
EXC005,CareerOne live job vacancies,CareerOne / TVEC,https://www.careerone.gov.lk/job/list,Live vacancy listings,E06,Vacancies expire quickly and are unsuitable for a frozen static corpus.,2026-08-25,EXCLUDE_FROM_STATIC_RAG,Possible live-retrieval extension later.
EXC006,NAITA live courses/intakes/fees,NAITA,https://naita.gov.lk/courses,Dynamic course catalogue,E06,"Course availability, fees, centres and intakes can change; static embedding risks stale guidance.",2026-08-25,EXCLUDE_FROM_STATIC_V1,Use date-aware/live retrieval later if required.
EXC007,NYSC individual course pages and registration form,NYSC,https://www.nysc.lk/courses,Dynamic course catalogue / transactional form,E01;E06,Individual course availability is centre- and time-dependent; registration form is transactional rather than stable knowledge.,2026-08-25,EXCLUDE_FROM_STATIC_V1,Index dated NYSC institutional/pathway pages and centre directory instead.
EXC008,Eng_Data_Ananytics_Specialists.pdf,CareerOne / TVEC,Uploaded local file,Occupational guide PDF,E12;E13,Narrow coverage and internal content inconsistency; occupational breadth is now provided systematically by ESCO.,2026-08-25,SUPPLEMENTARY_NOT_INDEXED_V1,Retain for local comparison/validation only.
EXC009,Eng_IT_Support_Specialist.pdf,CareerOne / TVEC,Uploaded local file,Occupational guide PDF,E12;E13,Contains internal wording inconsistency and is superseded for core occupational coverage by ESCO.,2026-08-25,SUPPLEMENTARY_NOT_INDEXED_V1,Retain for local comparison/validation only.
EXC010,Eng_Software_Developer.pdf,CareerOne / TVEC,Uploaded local file,Occupational guide PDF,E13,"Useful local context but narrow, partially dated and redundant once ESCO provides standardized occupation-skill coverage.",2026-08-25,SUPPLEMENTARY_NOT_INDEXED_V1,Retain as optional Sri Lankan contextual reference outside core index.
EXC011,Eng_Multimedia_Design_Associate_Graphic_Artist.pdf,CareerOne / TVEC,Uploaded local file,Occupational guide PDF,E13,Narrow occupation-specific coverage with dated salary/technology details; core breadth is supplied by ESCO.,2026-08-25,SUPPLEMENTARY_NOT_INDEXED_V1,Retain outside core RAG index.
EXC012,Eng_sola.pdf; Eng_Lifts_and_Escalators.pdf; Eng_ALUMINIUM_FABRICATION_TECHNICIAN.pdf; Eng_Four_Wheel_Tractor_Operator.pdf,CareerOne / TVEC,Uploaded local files,Short occupational guide PDFs,E13,Very short occupation-specific guides with volatile salary/job-count claims; redundant for core occupational breadth after ESCO adoption.,2026-08-25,SUPPLEMENTARY_NOT_INDEXED_V1,Retain only as local reference material.
EXC013,Procurement Officer; Welding Technology; Preschool Teacher; Medical Laboratory Technology; Travel Consultant Career Guides,CareerOne / TVEC,Uploaded local files,Newer occupational guide PDFs,E13,More useful than older guides but still narrow individual-occupation documents; not required for systematic occupational coverage after ESCO adoption.,2026-08-25,SUPPLEMENTARY_NOT_INDEXED_V1,May support qualitative local-context comparison later.
EXC014,Old/broken TVEC direct document links from earlier registry,TVEC,Earlier candidate URLs,Old direct PDF links,E11,Not reproducibly accessible from the current official source during screening.,2026-08-25,EXCLUDE_OR_REPLACE,Use currently verified official/official-platform routes only.
