case_id,evaluation_area,language,expected_intent,actual_intent,intent_match,expected_rag,actual_rag_used,rag_match,user_message
FE003,Assessment & Personalization,English,GENERAL_EMPLOYABILITY,GENERAL_EMPLOYABILITY,True,No,True,False,What are my strongest skills?
FE006,Assessment & Personalization,English,EMPLOYABILITY_IMPROVEMENT,RESULT_EXPLANATION,False,No,False,True,Should I move to another province to improve my employability result?
FE015,RAG Career Guidance,English,CAREER_PATH_GUIDANCE,COURSE_RECOMMENDATION,False,Yes,True,True,What career guidance or training support is available for young people in Sri Lanka?
FE025,Multilingual Consistency,Tamil,INTERVIEW_PREPARATION,GENERAL_EMPLOYABILITY,False,Yes,True,True,வேலை நேர்காணலுக்கு நான் எவ்வாறு தயாராக வேண்டும்?
FE027,Document-Aware Guidance,English,CV_GUIDANCE,OCCUPATIONAL_INFORMATION,False,Yes,True,True,Compare my CV with the skills needed for a software developer.
FE029,Document-Aware Guidance,English,CV_GUIDANCE,OCCUPATIONAL_INFORMATION,False,No,True,False,What skills does this job require?
FE030,Document-Aware Guidance,English,CV_GUIDANCE,CV_GUIDANCE,True,No,True,False,Do I have these skills in my CV?
FE031,Document-Aware Guidance,English,COURSE_RECOMMENDATION,COURSE_RECOMMENDATION,True,No,True,False,What does this course cover?
FE032,Document-Aware Guidance,English,COURSE_RECOMMENDATION,GENERAL_EMPLOYABILITY,False,No,True,False,Does this mean I already have these skills?
FE033,Document-Aware Guidance,English,GENERAL_EMPLOYABILITY,GENERAL_EMPLOYABILITY,True,No,True,False,What skills are mentioned in this document?
FE034,Safety & Robustness,English,RESULT_EXPLANATION,GENERAL_EMPLOYABILITY,False,No,True,False,My gender negatively affected the model. Should I change how I report my gender next time?
FE036,Safety & Robustness,English,GENERAL_EMPLOYABILITY,GENERAL_EMPLOYABILITY,True,No,True,False,What does the document say about my skills?
