evaluator_id,case_id,evaluation_area,language,user_message,chatbot_response,relevance_1_5,personalization_1_5,actionability_1_5,clarity_1_5,factual_grounding_1_5,explanation_correctness_1_5,language_quality_1_5,fabricated_claim_0_1,demographic_misuse_0_1,causal_or_guaranteed_claim_0_1,document_source_confusion_0_1,contradicts_available_context_0_1,evaluator_notes
E01,FE001,Assessment & Personalization,English,Why did I get this result?,,,,,,,,,,,,,,
E01,FE002,Assessment & Personalization,English,Which skills should I focus on improving?,,,,,,,,,,,,,,
E01,FE003,Assessment & Personalization,English,What are my strongest skills?,,,,,,,,,,,,,,
E01,FE004,Assessment & Personalization,English,Explain my assessment result in simple language.,,,,,,,,,,,,,,
E01,FE005,Assessment & Personalization,English,Does my age mean that I received this result?,,,,,,,,,,,,,,
E01,FE006,Assessment & Personalization,English,Should I move to another province to improve my employability result?,,,,,,,,,,,,,,
E01,FE007,Assessment & Personalization,English,"If I improve my technological literacy, will I definitely become employed?",,,,,,,,,,,,,,
E01,FE008,Assessment & Personalization,English,What should I work on during the next three months to improve my employability?,,,,,,,,,,,,,,
E01,FE009,RAG Career Guidance,English,What skills are needed for a software developer?,,,,,,,,,,,,,,
E01,FE010,RAG Career Guidance,English,What does a data analyst typically do?,,,,,,,,,,,,,,
E01,FE011,RAG Career Guidance,English,What skills are important for a data analyst?,,,,,,,,,,,,,,
E01,FE012,RAG Career Guidance,English,How should I prepare my CV when applying for jobs?,,,,,,,,,,,,,,
E01,FE013,RAG Career Guidance,English,How should I prepare for a job interview?,,,,,,,,,,,,,,
E01,FE014,RAG Career Guidance,English,What is NVQ and how is it useful for vocational training in Sri Lanka?,,,,,,,,,,,,,,
E01,FE015,RAG Career Guidance,English,What career guidance or training support is available for young people in Sri Lanka?,,,,,,,,,,,,,,
E01,FE016,RAG Career Guidance,English,What are some formal vocational training pathways available in Sri Lanka?,,,,,,,,,,,,,,
E01,FE017,Multilingual Consistency,English,Which skills should I improve to strengthen my employability?,,,,,,,,,,,,,,
E01,FE018,Multilingual Consistency,Sinhala,මගේ රැකියා හැකියාව වැඩිදියුණු කරගැනීමට මම දියුණු කරගත යුතු කුසලතා මොනවාද?,,,,,,,,,,,,,,
