corpus_id,source_id,title,organization,knowledge_domain,local_filename,file_type,file_size_bytes,sha256,extraction_status,text_unit_count
C001,SRC002,ESCO Occupation Profiles - processed from ESCO v1.2.1 English CSV,European Commission,Occupational information,esco_occupation_profiles.jsonl,.jsonl,13045815,bbd26e5bb42c0175393db485828c0397b3154323a3e505498a9756545ace94e7,ESCO_ALREADY_PROCESSED,3039
C002,SRC004,Guidelines for Portfolio Preparing,CareerOne / TVEC,Career preparation,Guidelines-for-Portfolio-Preparing.pdf,.pdf,311759,0ad74d27f00766ff9d6959cca03805d1802ef5699ad761a58fd30e0628584478,OK,10
C003,SRC005,NVQ Framework of Sri Lanka - Operations Manual 2021,TVEC,Education and training pathways,NVQ Operational Manual-2021.pdf,.pdf,2766098,106b8d0532f578383e2ead0269c587ad2dbcc1aa975efe29de755bec1e62fb4c,OK,155
C004,SRC006,Recognition of Prior Learning (RPL),NAITA,Education and training pathways,NAITA - National Apprentice and Industrial Training Authority.html,.html,773,0857745163b8eaff3191e0d91366f71eebad44815ed1cba6517957a0fca050ab,OK,1
C005,SRC007,University Admissions Handbook 2025/2026,UGC Sri Lanka,Education and training pathways,student_handbook_english.pdf,.pdf,14961593,8b9cc7b24ed2a10ed19c22a1e12d0a9336c0db15f1623ea2aca35334e005c93d,OK,209
C006,SRC008,How to Support a Jobseeker?,ILO,Career preparation,wcms_882743.pdf,.pdf,9008614,a2fb63a016c9134d6457f2e06a9008acb2b33306d134b54e9ce9f5c3883d3692,OK,83
C007,SRC009,Guiding Youth Careers,ILO,Career preparation,wcms_154445.pdf,.pdf,2213917,a11c73b502c4807646debfb99ecca1117a735c938e95b8ce2c8df9a76438e3f4,OK,120
C008,SRC010,Labour Force Survey Annual Bulletin 2025,DCS Sri Lanka,Labour-market information,LFS_Annual Bulletin_2025.pdf,.pdf,928109,48a8863a4643078fa886a832d7268f792212ffc232ee1b689a7af7b2d74db4b1,OK,5
C009,SRC011,Labour Force Survey First Quarter 2026,DCS Sri Lanka,Labour-market information,1stQuarter2026.pdf,.pdf,2593403,b33d2abdb5d77fcd5e11dbfc9ee8884c747262664bb208ca6376b5cb40e02910,OK,31
C010,SRC012,Progress Report 2025 - selected Department of Manpower and Employment sections,Ministry of Labour Sri Lanka,Career support and referral,3.MinistryofLabour_E-compressed.pdf,.pdf,1304226,e6946b317a7ff050e500e41eb2dc3e96a3ebbc664ed165d36fca986cd14ef709,OK,41
C011,SRC013,Technical and Vocational Training Division,National Youth Services Council,Education and training pathways,Youth Council __ Sri Lanka.html,.html,169067,1416ba7b99637453b73fa62bcfdd63036240adbc4500fc5d79f74df3f515a7fd,OK,1
C012,SRC014,NYSC Training Centres Directory,National Youth Services Council,Education and training pathways,Centers National Youth Council Sri Lanka.html,.html,172069,e460a048fd445afca7bc7f3347e6a45257f7aedd888ac5e074b929dc9413f719,OK,1
C013,SRC015,Examination and Assessment Division,National Youth Services Council,Education and training pathways,NYSC Examination and Assessment Division.html,.html,160617,76e5bb88bbf0b0da9e3b9157df792540e7302833f43e6be695b99df2d3b4c934,OK,1
